Depth,Age,Al,Si,Fe,Ti,Mg,K,P,Ba,Sr,TotC,TIC,TOC,CaCO3,BioSi
0,1.33,4.1,25.8,2.1,0.21,1.32,1.93,0.1,940,153,4.64,0,4.64,0,26.8
0.1,1.42,1.04,28,1.89,0.2,1.33,1.75,0.09,533,151,3.93,0,3.93,0,53.7
0.2,1.51,3.87,25.8,1.85,0.2,1.44,1.69,0.1,575,158,3.69,0,3.69,0,28.4
0.3,1.6,3.83,25,1.85,0.2,1.39,1.62,0.09,531,154,3.92,0,3.92,0,27
0.4,1.69,3.47,25.7,1.61,0.18,1.34,1.69,0.12,545,149,4.03,0,4.03,0,31.1
0.5,1.77,2.66,27.8,1.29,0.14,1.23,1.18,0.07,442,128,3.28,0,3.28,0,41.5
0.6,1.86,3.46,25.6,1.63,0.17,1.36,1.42,0.12,539,146,3.85,0,3.85,0,31
0.7,1.95,3.32,26.8,1.61,0.18,1.27,1.43,0.1,397,138,3.31,0,3.31,0,34.6
0.8,2.04,3.75,25.6,1.69,0.19,1.38,1.78,0.1,508,161,3.37,0,3.37,0,28.9
0.9,2.12,3.32,26.3,1.53,0.17,1.31,1.43,0.08,472,146,3.45,0.01,3.44,0.08,33.5
1,2.21,4.43,24.5,2.17,0.23,1.52,1.9,0.1,521,176,3.64,0.24,3.4,2,21.5
1.1,2.3,2.02,24.6,1.01,0.11,1.39,1.16,0.12,385,152,2.92,0,2.92,0,39.2
1.2,2.39,3.33,25.5,1.5,0.17,1.36,1.52,0.08,446,154,3.64,0,3.64,0,31.7
1.3,2.47,3.34,24.7,1.55,0.16,1.46,1.5,0.11,531,162,3.55,0.02,3.53,0.17,29.9
1.4,2.56,3.66,24.2,1.62,0.19,1.5,1.58,0.08,458,170,3.43,0.01,3.42,0.08,26.4
1.5,2.65,3.52,24.4,1.58,0.18,1.57,1.51,0.09,498,172,3.33,0.01,3.32,0.08,27.9
1.6,2.74,4.66,27.2,2.16,0.24,1.27,1.83,0.11,562,149,4.05,0,4.05,0,25.8
1.7,2.83,3.46,28.2,1.61,0.17,1.19,1.46,0.08,521,132,3.85,0,3.85,0,36.6
1.8,2.91,3.46,26.9,1.59,0.19,1.3,1.49,0.1,437,143,3.31,0,3.31,0,33.8
1.9,3,3.77,26.2,1.73,0.19,1.33,1.5,0.09,480,144,3.65,0,3.65,0,30
2,3.09,3.84,25.3,1.71,0.19,1.41,1.5,0.11,521,153,4.07,0,4.07,0,27.5
2.1,3.18,4.24,25.9,1.97,0.21,1.41,1.71,0.1,507,162,3.62,0,3.62,0,26
2.2,3.26,3.41,26.1,1.58,0.17,1.32,1.37,0.07,387,146,3.13,0,3.13,0,32.4
2.3,3.35,3.8,25.6,1.93,0.19,1.47,1.53,0.08,466,155,3.32,0,3.32,0,28.5
2.4,3.44,3.4,25.4,1.76,0.17,1.39,1.38,0.1,514,149,3.98,0,3.98,0,30.9
2.5,3.53,3.96,26.7,1.82,0.2,1.43,1.58,0.08,470,155,3.28,0.01,3.27,0.08,29.7
2.59,3.61,4.31,24.7,2.17,0.22,1.55,1.62,0.09,520,207,3.59,0.27,3.32,2.25,22.8
2.7,3.7,3.75,25.6,1.8,0.19,1.48,1.5,0.07,516,159,3.55,0.02,3.53,0.17,28.9
2.8,3.79,3.49,25.2,1.66,0.17,1.25,1.42,0.09,442,165,3.59,0,3.59,0,29.9
2.9,3.88,3.77,25.9,1.86,0.2,1.53,1.52,0.09,536,166,3.74,0,3.74,0,29.4
3,3.97,3.21,25.2,1.58,0.16,1.44,1.44,0.07,453,148,3.17,0,3.17,0,31.9
3,3.97,3.25,22.8,1.49,0.17,1.84,1.4,0.07,432,159,3.25,0,3.25,0,26.3
3.1,4.05,3.57,28,1.65,0.18,1.22,1.43,0.07,422,148,3.1,0,3.1,0,35.4
3.2,4.14,4.39,24.7,1.99,0.21,1.45,1.71,0.09,537,210,4.28,0.3,3.98,2.5,22.3
3.3,4.23,3.52,26.3,1.68,0.18,1.37,1.4,0.08,543,160,4.01,0.02,3.99,0.17,32
3.4,4.32,3.87,26,1.85,0.18,1.31,1.5,0.08,479,145,3.65,0,3.65,0,28.9
3.5,4.4,3.89,26.1,1.82,0.19,1.34,1.55,0.08,519,151,3.69,0,3.69,0,28.9
3.6,4.49,3.47,26.5,1.59,0.17,1.35,1.36,0.07,451,142,3.51,0,3.51,0,32.8
3.7,4.58,3.95,24.5,1.85,0.19,1.54,1.56,0.07,510,171,3.41,0,3.41,0,25
4.75,5.5,3.78,26.2,1.84,0.2,1.25,1.46,0.11,575,152,3.54,0.07,3.47,0.58,30
4.85,5.59,4,26.7,1.9,0.2,1.31,1.55,0.07,556,142,4.1,0,4.1,0,29.5
4.95,5.68,4.11,28.3,1.81,0.19,1.39,1.59,0.07,602,149,3.89,0,3.89,0,32.2
5.05,5.76,4.15,25.6,1.88,0.2,1.4,1.56,0.11,651,160,3.2,0.01,3.19,0.08,26
5.15,5.85,4.43,25.1,2.03,0.21,1.51,1.65,0.08,748,164,3.5,0.01,3.49,0.08,22.8
5.25,5.94,4.58,25.6,2.01,0.21,1.5,1.67,0.08,615,154,3.62,0.01,3.61,0.08,22.9
5.35,6.03,4.18,26.8,1.89,0.19,1.35,1.6,0.08,621,161,3.61,0.01,3.6,0.08,28.4
5.45,6.12,3.99,26.7,1.74,0.19,1.39,1.52,0.07,632,155,3.36,0.03,3.33,0.25,29.5
5.55,6.2,3.55,28.1,1.6,0.18,1.25,1.35,0.06,519,131,2.96,0,2.96,0,35.8
5.65,6.29,3.8,26.7,1.89,0.19,1.38,1.46,0.08,609,142,2.72,0,2.72,0,30.9
5.75,6.38,4.03,27.7,1.83,0.2,1.37,1.56,0.08,651,148,3.21,0,3.21,0,31.4
5.85,6.47,4.71,26,2.08,0.22,1.45,1.74,0.09,690,157,3.1,0,3.1,0,22.8
5.95,6.55,4.67,25.7,2.15,0.22,1.54,1.73,0.1,667,161,3.19,0,3.19,0,22.4
6.05,6.64,4.59,24.6,2.05,0.21,1.59,1.95,0.08,680,164,3.63,0.01,3.62,0.08,20.6
6.15,6.73,5.07,23.5,2.19,0.23,1.76,1.86,0.08,647,173,3.52,0,3.52,0,14.7
6.25,6.82,5.08,25.7,2.22,0.23,1.4,1.88,0.09,674,156,3.58,0,3.58,0,19.5
6.35,6.9,4.53,26.6,1.96,0.21,1.37,1.69,0.09,478,146,4.25,0,4.25,0,25.4
6.45,6.99,4.95,26.1,2.19,0.23,1.53,1.9,0.09,413,163,3.76,0,3.76,0,21.3
6.55,7.08,5.1,22.7,2.23,0.23,1.52,1.95,0.07,498,157,3.32,0.01,3.31,0.08,12.8
6.65,7.17,4.42,26.7,1.93,0.2,1.39,1.68,0.07,303,156,3.03,0.13,2.9,1.08,26.4
6.75,7.26,4.93,26.6,2.27,0.24,1.46,1.95,0.08,445,150,3.13,0,3.13,0,22.5
