Depth,Age,A_curv,A_octon,ActinSpp,A_nodul,CoscinSpp,CyclotSpp,Rop_tess,StephanSpp,Num.counted
0,1.33,5,2,32,14,21,22,1,1,201
0.05,1.37,8,2,31,16,20,16,7,2,200
0.1,1.42,8,6,33,18,29,7,1,1,200
0.15,1.46,11,1,21,1,12,28,25,3,200
0.2,1.51,11,1,38,3,18,24,3,NA,300
0.25,1.55,4,9,30,10,16,14,16,NA,203
0.3,1.59,5,3,21,4,12,16,40,NA,200
0.35,1.64,7,4,36,19,19,13,3,1,200
0.4,1.68,14,7,40,4,24,11,3,1,200
0.45,1.72,6,3,37,6,26,20,3,1,200
0.5,1.77,8,4,20,11,11,20,27,1,200
0.55,1.81,5,3,35,3,15,22,12,3,201
0.6,1.86,9,3,30,3,18,27,7,1,202
0.65,1.9,5,4,27,6,19,35,4,NA,302
0.7,1.94,13,2,36,8,15,21,6,NA,200
0.75,1.99,6,2,33,4,32,21,1,NA,201
0.8,2.03,9,2,42,3,21,18,4,1,202
0.85,2.08,14,3,21,1,14,42,4,NA,201
0.9,2.12,9,5,26,13,16,20,9,NA,201
0.95,2.16,11,4,34,3,10,35,3,2,200
1,2.21,12,3,39,1,16,23,2,2,204
1.05,2.25,13,3,23,5,18,23,15,1,200
1.1,2.29,6,1,23,4,10,19,16,19,201
1.15,2.34,7,9,28,8,18,23,7,NA,203
1.2,2.38,9,3,11,19,12,18,27,NA,241
1.25,2.43,9,3,26,2,18,13,22,9,200
1.3,2.47,12,3,27,4,13,19,16,5,300
1.35,2.51,9,4,29,4,8,43,3,NA,202
1.4,2.56,10,6,25,3,10,36,9,1,204
1.49,2.64,9,3,28,6,29,19,9,NA,200
1.5,2.65,6,7,32,8,13,17,19,NA,200
1.55,2.69,5,7,22,4,10,31,23,NA,200
1.6,2.73,8,6,28,2,26,25,6,1,200
1.65,2.78,10,1,28,6,19,28,10,NA,200
1.7,2.82,9,3,43,1,16,25,4,1,200
1.75,2.87,16,12,21,4,19,19,7,2,203
1.8,2.91,11,2,40,6,17,15,7,NA,203
1.85,2.95,5,3,38,5,23,21,6,1,200
1.9,3,6,2,18,1,11,36,26,1,200
1.95,3.04,10,4,40,2,15,24,7,1,200
2,3.08,6,1,29,1,6,42,14,NA,202
2.05,3.13,6,8,35,4,16,25,8,1,200
2.1,3.17,11,4,28,3,19,27,8,NA,203
2.15,3.22,6,3,37,4,12,35,2,NA,275
2.2,3.26,7,5,37,13,18,16,2,NA,202
2.25,3.3,7,6,36,4,20,22,6,1,200
2.3,3.35,5,6,32,7,22,19,6,NA,201
2.35,3.39,8,14,29,3,12,31,3,NA,300
2.4,3.44,9,6,35,2,19,26,5,NA,200
2.45,3.48,9,8,34,3,22,24,2,1,200
2.5,3.52,7,4,36,4,20,25,1,2,201
