Country Name,Year,All,Male,Female,GDP per capita,region,sub-region,Population
Afghanistan,2019,63.2,63.3,63.2,507.10343190000003,Asia,Southern Asia,38041754.0
Afghanistan,2015,61.7,61.0,62.3,578.4663529000001,Asia,Southern Asia,34413603.0
Afghanistan,2010,59.9,59.6,60.3,543.3030418999999,Asia,Southern Asia,29185507.0
Albania,2019,78.0,76.3,79.9,5353.244856,Europe,Southern Europe,2854191.0
Albania,2015,77.8,76.1,79.7,3952.801215,Europe,Southern Europe,2880703.0
Albania,2010,76.2,74.2,78.3,4094.350334,Europe,Southern Europe,2913021.0
Albania,2000,73.5,70.7,76.9,1126.6833179999999,Europe,Southern Europe,3089027.0
Algeria,2019,77.1,76.2,78.1,3973.9640719999998,Africa,Northern Africa,43053054.0
Algeria,2015,76.5,75.6,77.5,4187.509727000001,Africa,Northern Africa,39728025.0
Algeria,2010,75.9,75.0,76.8,4479.34172,Africa,Northern Africa,35977455.0
Algeria,2000,72.2,70.9,73.5,1765.0221980000001,Africa,Northern Africa,31042235.0
Angola,2019,63.1,60.7,65.5,2790.726615,Africa,Sub-Saharan Africa,31825295.0
Angola,2015,61.7,59.1,64.5,4166.979684,Africa,Sub-Saharan Africa,27884381.0
Angola,2010,58.1,55.8,60.5,3587.883798,Africa,Sub-Saharan Africa,23356246.0
Angola,2000,49.3,46.8,52.1,556.8363181,Africa,Sub-Saharan Africa,16395473.0
Antigua and Barbuda,2019,76.5,74.9,78.0,17112.82113,Americas,Latin America and the Caribbean,97118.0
Antigua and Barbuda,2015,76.1,74.4,77.8,14286.093159999999,Americas,Latin America and the Caribbean,93566.0
Antigua and Barbuda,2010,75.9,73.6,78.2,13049.25705,Americas,Latin America and the Caribbean,88028.0
Antigua and Barbuda,2000,74.6,72.0,77.0,10871.00571,Americas,Latin America and the Caribbean,76016.0
Argentina,2019,76.6,73.5,79.5,9912.281809,Americas,Latin America and the Caribbean,44938712.0
Argentina,2015,76.2,72.9,79.3,13789.060419999998,Americas,Latin America and the Caribbean,43131966.0
Argentina,2010,75.4,72.1,78.6,10385.96443,Americas,Latin America and the Caribbean,40788453.0
Argentina,2000,74.1,70.3,77.8,7708.100995999999,Americas,Latin America and the Caribbean,36870787.0
Armenia,2019,76.0,72.5,79.2,4622.733493,Asia,Western Asia,2957731.0
Armenia,2015,74.5,70.9,77.8,3607.2966969999998,Asia,Western Asia,2925553.0
Armenia,2010,73.1,69.4,76.6,3218.372707,Asia,Western Asia,2877319.0
Armenia,2000,71.9,68.6,74.9,622.7421391,Asia,Western Asia,3069591.0
Australia,2019,83.0,81.3,84.8,55060.3261,Oceania,Australia and New Zealand,25364307.0
Australia,2015,82.3,80.4,84.2,56755.721710000005,Oceania,Australia and New Zealand,23815995.0
Australia,2010,81.9,79.8,84.0,52022.1256,Oceania,Australia and New Zealand,22031750.0
Australia,2000,79.7,77.1,82.2,21679.24784,Oceania,Australia and New Zealand,19153000.0
Austria,2019,81.6,79.4,83.8,50137.66278,Europe,Western Europe,8877067.0
Austria,2015,81.0,78.6,83.3,44178.04738,Europe,Western Europe,8642699.0
Austria,2010,80.4,77.6,83.0,46858.04327,Europe,Western Europe,8363404.0
Austria,2000,78.2,75.1,81.0,24564.458290000002,Europe,Western Europe,8011566.0
Azerbaijan,2019,71.4,68.8,74.1,4793.58702,Asia,Western Asia,10023318.0
Azerbaijan,2015,70.7,67.9,73.4,5500.310382,Asia,Western Asia,9649341.0
Azerbaijan,2010,69.0,66.3,71.8,5842.805784,Asia,Western Asia,9054332.0
Azerbaijan,2000,65.5,62.6,68.5,655.0974326,Asia,Western Asia,8048600.0
Bahrain,2019,75.8,75.0,77.0,23503.977130000003,Asia,Western Asia,1641172.0
Bahrain,2015,76.5,75.9,77.3,22634.11865,Asia,Western Asia,1371851.0
Bahrain,2010,74.5,73.8,75.3,20722.137290000002,Asia,Western Asia,1240860.0
Bahrain,2000,70.5,69.5,71.8,13636.39623,Asia,Western Asia,664611.0
Bangladesh,2019,74.3,73.0,75.6,1855.7398239999998,Asia,Southern Asia,163046161.0
Bangladesh,2015,73.6,72.5,74.8,1248.453398,Asia,Southern Asia,156256276.0
Bangladesh,2010,70.3,68.6,72.2,781.1535936,Asia,Southern Asia,147575430.0
Bangladesh,2000,65.6,64.1,67.4,418.0689683,Asia,Southern Asia,127657854.0
Barbados,2019,76.0,74.3,77.7,18148.24493,Americas,Latin America and the Caribbean,287025.0
Barbados,2015,76.2,75.0,77.4,16525.07325,Americas,Latin America and the Caribbean,285324.0
Barbados,2010,75.9,74.5,77.2,16056.370980000002,Americas,Latin America and the Caribbean,282131.0
Barbados,2000,74.5,72.1,76.7,11268.25406,Americas,Latin America and the Caribbean,271515.0
Belarus,2019,74.8,69.7,79.6,6663.295293,Europe,Eastern Europe,9466856.0
Belarus,2015,73.8,68.6,78.8,5949.106307,Europe,Eastern Europe,9489616.0
Belarus,2010,70.4,64.5,76.4,6029.3968,Europe,Eastern Europe,9490583.0
Belarus,2000,68.8,63.3,74.6,1276.288034,Europe,Eastern Europe,9979610.0
Belgium,2019,81.4,79.3,83.5,46420.66377,Europe,Western Europe,11484055.0
Belgium,2015,80.7,78.5,82.9,40991.80814,Europe,Western Europe,11274196.0
Belgium,2010,79.8,77.2,82.4,44141.87814,Europe,Western Europe,10895586.0
Belgium,2000,77.7,74.5,80.7,23041.53473,Europe,Western Europe,10251250.0
Belize,2019,74.4,71.4,77.8,4815.163711,Americas,Latin America and the Caribbean,390353.0
Belize,2015,74.0,71.1,77.3,4775.955648,Americas,Latin America and the Caribbean,360933.0
Belize,2010,73.4,70.9,76.1,4270.864345,Americas,Latin America and the Caribbean,322464.0
