State,County,Women,White,Citizen,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Production,Drive,Carpool,Transit,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,SelfEmployed,FamilyWork,Unemployment,Minority
Alabama,Autauga,51.56733851,75.7882273,73.74911718,24974.4997,12.9123051,18.70758045,32.79097445,17.17044422,24.28242879,17.15713225,87.50623676,8.7812354,0.09525905,1.305968744,1.835653103,26.50016479,43.43637384,73.73648974,5.433253654,0,7.7337263,22.53687003
Alabama,Baldwin,51.15133686,83.10261633,75.69405651,27316.83516,13.42423009,19.48430512,32.72994347,17.95092071,27.10438805,11.32185721,84.59860753,8.959077701,0.126620917,1.443800001,3.850477396,26.32217855,44.05112725,81.28265538,5.909353171,0.363326859,7.589820163,15.21425987
Alabama,Barbour,46.17184019,46.23159439,76.91222338,16824.21643,26.50562899,43.55962053,26.12404203,16.46343383,23.27877618,23.31741052,83.3302057,11.05660924,0.495403238,1.621725085,1.501945641,24.51828308,31.92113471,71.5942559,7.149836626,0.089774246,17.52555696,51.94381776
Alabama,Bibb,46.58909927,74.4998894,77.3978057,18430.99031,16.60374712,27.19708459,21.5900991,17.95545036,17.46730667,23.74414705,83.43487878,13.15364095,0.503136613,1.562095204,0.731467882,28.71439126,36.69262078,76.74384622,6.637935764,0.394151478,8.163103875,24.16597062
Alabama,Blount,50.59435107,87.85385375,73.37549818,20532.27467,16.72151793,26.85737654,28.52930168,13.94251949,23.83692428,20.10413273,84.85030844,11.27922197,0.362632126,0.419941085,2.265413273,34.84489343,38.44914226,81.82670768,4.228715994,0.356492809,7.699639577,10.59474441
Alabama,Bullock,46.99381907,22.19917588,75.45420491,17579.5664,24.50260348,37.29115939,19.55252856,14.92419929,20.17050946,25.73547481,74.77276644,14.83912718,0.773215958,1.823824686,3.099878254,28.63106387,36.19591684,79.09065368,5.273684211,0,17.89002622,76.53586814
Alabama,Butler,53.31630146,53.33139432,76.55006387,18389.82446,25.3962317,37.28657758,26.83398841,17.0999263,22.2240002,23.91135403,84.50587108,12.6162032,0,0.530976712,1.606396777,24.56754446,38.38557532,77.95180309,6.133266188,0.203866562,11.25671121,45.48331532
Alabama,Calhoun,51.75919893,73.02655945,75.9644731,21372.60403,21.04747008,31.96249443,26.71739309,18.00230016,24.19005178,20.66590052,85.10515757,9.626816639,0.22255924,1.220426254,2.630111279,23.99629557,40.63732382,74.42686893,5.046384726,0.107541751,12.38718923,24.86455368
Alabama,Chambers,52.29320109,57.30429003,77.64899205,21070.99375,21.59896417,37.19649051,23.30295783,14.68629948,25.86724082,24.79954517,84.83892426,12.18158103,0.189941019,0.355177675,2.080313389,25.17045981,40.16843217,85.32038792,2.755388949,0.011376508,9.176519264,41.68151648
Alabama,Cherokee,50.11150415,91.71393033,79.20639803,21810.50035,19.22858351,28.46355352,29.59546678,15.95208397,19.48943018,21.48736158,83.94366349,12.06264611,0.227718394,0.717190864,2.499823131,27.35058444,39.04567825,73.26184251,7.965387573,0.481178868,7.980609812,7.116433405
