Country,Country Code,educ_bach_f,educ_sec_f,educ_psec_f,educ_prim_f,educ_tert_f,educ_upsec_f,educ_master_f,educ_phd_f,educ_expected_yrs_f,literacy_fadult,literacy_fyouth,pop_f,life_60f,life_60m,life_birthf,life_birthm,migrants_f,emergencyfunds_f,creditcard_f,debitcard_f,employtopop_f,empl_informal_f,laborpart_f,laborpart_fyouth,labor_highed_f,labor_basiced_f,labor_inted_f,laborpct_f,emergencyfunds_personal_f,emergencyfunds_loan_f,emergencyfunds_work_f,emergencyfunds_other_f,emergencyfunds_sale_f,emergencyfunds_savings_f,unpaid_domestic_f,laborpart_ratio_ftom,unemp_highed_f,unemp_basiced_f,unemp_inted_f,unemp_f,unemp_fyouth,contraceptive_modern
Afghanistan,AFG,,,,,,,,,6.795722485,29.80521011,56.2547493,48.6358467,,,66.02600000000001,63.047,,,,,18.38999939,,,,,,,21.24702087,,,,,,,,,,,,,,17.4
Albania,ALB,,,,,,,,,13.20175457,97.76112366,99.62999725,49.0630946,,,80.167,76.816,,,,,44.58000183,22.32999992,27.48999977,51.31999969,49.72000122,19.96999931,52.02000046,42.19068734,,,,,,,,76.11984736,15.14000034,7.329999924,8.960000037999999,11.88000011,25.79999924,3.7
Algeria,DZA,,,,,,,,,12.10898972,75.32296753,97.25215912,49.48426788,,,77.938,75.494,,,,,13.73999977,,,,,,,20.126973800000002,,,,,,,,,,,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,6.973901272000001,,,50.53046293,,,63.666000000000004,58.06399999999999,,,,,70.58999634,,,,,,,50.20290973,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,12.91444111,,,51.78849629,,,77.983,75.721,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,,59.16115952,22.46858978,92.60102844,22.46858978,,,,13.06125259,99.06204224,99.75765228,51.23734845,,,79.863,73.082,,,,,45.47000122,48.72000122,32.63000107,49.52000046,75.38999939,33.81000137,55.83000183,43.00185746,,,,,,,,69.73665536,4.1999998089999995,13.14999962,13.25,10.51000023,27.77000046,
Armenia,ARM,,,,,,,,,11.62581253,,,52.95657715,,,78.354,71.215,,,,,34.31000137,21.02000046,31.25,47.59000015,64.36000061,21.20999908,44.31999969,44.23157513,,,,,,,,66.69937095,23.0,9.180000305,22.44000053,20.43000031,39.02999878,
Aruba,ABW,,,,,,,,,,97.81268311,99.38999939,52.53103566,,,78.507,73.628,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,34.78239822,93.47260284,53.00374985,99.58647156,47.72288895,76.88626099,7.910870075,1.075399995,13.62022209,,,50.19962324,,,84.9,80.7,,,,,57.16999817,,67.52999878,60.49000168,,,,46.50039959,,,,,,,,85.24521203,,,,5.320000172,10.68000031,
Austria,AUT,,,,,,,,,13.46689415,,,50.82942665,,,84.1,79.4,,,,,52.49000168,,53.77999878,55.90999985,76.80999756,30.22999954,59.50999832,46.42890907,,,,,,,,83.31098098,3.339999914,9.56000042,4.1199998860000004,4.650000095,9.369999886,
Azerbaijan,AZE,,,,,,,,,12.44501495,,,50.1157491,,,75.336,70.345,,,,,59.99000168,,,63.09999847,,,,48.7601176,,,,,,,,90.53084826,,,,5.8000001910000005,,
"Bahamas, The",BHS,,,,,,,,,,,,51.42505219,,,75.911,71.499,,,,,63.06999969,,,,,,,48.1769935,,,,,,,,,,,,10.0,,
Bahrain,BHR,28.58093071,77.85112,36.14088821,83.02921295,,62.91408157,1.403419971,0.194110006,13.27036572,94.94888306,99.3013382,36.34825161,,,78.285,76.312,,,,,42.79999924,,,,,,,20.49305163,,,,,,,,,,,,,,
Bangladesh,BGD,6.352620125,39.8609314,11.42455006,54.47362137,6.611730099,25.99205971,2.65644002,0.128739998,10.52187443,71.18193817,94.91259003,49.38729667,,,74.291,70.637,,,,,33.74000168,,,,,,,30.36462425,,,,,,,,,,,,,,51.9
Barbados,BRB,,,,,,,,,,,,51.67283003,,,80.392,77.682,,,,,55.63999939,,40.38999939,59.47000122,81.79000092,49.77000046,67.58999634,49.35138511,,,,,,,,87.37878835,5.5500001910000005,9.380000114,11.53999996,8.539999962000001,24.44000053,
Belarus,BLR,,,,,,,,,13.75893879,99.72518158,99.87000275,53.45605422,,,79.4,69.2,,,,,56.09000015,,,66.19999695,,,,49.03947986,,,,,,,,86.99079931,,,,3.5599999430000002,8.369999886,
Belgium,BEL,,,,,,,,,13.56679726,,,50.59331939,,,83.9,79.4,,,,,45.95000076,,27.75,49.52000046,74.69000244,20.80999947,52.63999939,46.21097452,,,,,,,,83.87533823,3.3299999239999996,12.69999981,6.139999866,5.559999942999999,15.26000023,65.4
Belize,BLZ,,,,,,,,,,,,50.19252306,,,77.666,71.579,,,,,44.91999817,,,,,,,38.70744932,,,,,,,,,,,,,,
Benin,BEN,,,,,,,,,8.782134056,31.07164955,51.94361877,50.098201700000004,,,63.003,59.913999999999994,,,,,66.90000153,,,,,,,49.17391085,,,,,,,,,,,,,,12.0
Bermuda,BMU,,,,,,,,,,,,,,,85.57,77.92,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,10.70332813,,,47.00263522,,,71.816,71.123,,,,,57.43000031,,,,,,,40.91314043,,,,,,,,,,,,,,
Bolivia,BOL,,,,,,,,,,,,49.78339913,,,74.209,68.434,,,,,61.08000183,75.22000122,44.11999893,63.79000092,72.87000275,57.43999863,55.18000031,44.18631248,,,,,,,,79.44949581,6.53000021,2.430000067,5.769999981000001,3.609999895,7.03000021,
Bosnia and Herzegovina,BIH,7.192639828,73.99214935,10.47789955,82.01967621,10.06783009,52.4998703,1.001459956,0.174439996,11.78481483,,,51.01053603,,,79.72,74.752,,,,,28.30999947,10.52999973,23.01000023,31.37000084,80.15000153,14.23999977,44.93999863,39.2009172,,,,,,,,59.2669576,17.09000015,18.88999939,21.84000015,20.32999992,45.45999908,
Botswana,BWA,,,,,,,,,8.500170707999999,,,51.73076044,,,72.04899999999999,66.204,,,,,51.79000092,,,,,,,48.82859773,,,,,,,,,,,,,,
Brazil,BRA,18.29206085,61.55126953,18.29206085,80.83426666,18.29206085,49.50600815,0.900460005,0.2086,,93.42507172,99.43153381,50.82991676,,,79.362,72.024,,,,,46.61999893,,49.0,52.95000076,77.05999756,35.72999954,65.20999908,43.578201,,,,,,,,73.00427637,7.860000134,17.27000046,16.77000046,14.18999958,32.77999878,
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,,,,,,,,,13.21317291,96.3012619,99.78965759,48.03618053,,,76.96,74.593,,,,,52.59999847,33.22999954,35.27000046,57.31000137,83.48999786,38.61000061,61.31999969,42.07670159,,,,,,,,78.78746640000001,10.88000011,10.71000004,9.619999886,10.06999969,32.52999878,
Bulgaria,BGR,,,,,,,,,12.24310493,,,51.41408841,,,78.6,71.5,,,,,47.04000092,,19.29999924,49.22000122,72.58000183,19.25,53.04000092,46.16881958,,,,,,,,79.47683026,2.220000029,15.65999985,4.139999866,4.650000095,11.89000034,
Burkina Faso,BFA,,,,,,,,,6.696904658999999,32.68761826,54.66999817,50.09548152,,,61.863,60.361000000000004,,,,,55.72999954,97.05000305,23.93000031,37.95000076,60.74000168,31.29999924,43.81999969,44.70379261,,,,,,,,71.63080614,9.300000191,8.869999886,12.80000019,4.6300001139999996,8.390000342999999,29.92160897
Burundi,BDI,,,,,,,,,8.191820145,,,50.42199464,,,63.031000000000006,59.435,,,,,79.66000366,,,,,,,51.89353872,,,,,,,,,,,,,,
Cabo Verde,CPV,,,,,,,,,,,,49.81903914,,,76.007,69.316,,,,,46.93000031,,28.42000008,48.72000122,68.48000336,51.45000076,52.34999847,43.97647895,,,,,,,,77.95200195,6.920000076,7.679999828,17.18000031,11.55000019,31.86000061,54.7
Cambodia,KHM,,,,,,,,,9.635119438,,,51.19798127,,,71.62899999999999,67.312,,,,,76.94999695,,,,,,,48.95809937,,,,,,,,,,,,,,
Cameroon,CMR,,,,,,,,,8.315596581,71.58627319,82.41000366,50.00348783,,,60.192,57.656000000000006,,,,,68.54000092,,,,,,,47.07102132,,,,,,,,,,,,,,15.0
Canada,CAN,,,,,,,,,13.709587099999998,,,50.39152995,,,84.2,80.0,,,,,57.63000107,,63.33000183,61.29999924,72.23000336,35.91999817,55.08000183,47.36335857,,,,,,,,88.02412374,4.460000038,12.18999958,6.6199998860000004,5.489999771,9.619999886,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,,,,,,,,,3.848102808,25.75638008,28.70665932,50.43647371,,,54.99100000000001,50.648999999999994,,,,,61.79000092,,,,,,,45.65404112,,,,,,,,,,,,,,
Chad,TCD,,,,,,,,,4.473656654,,,50.08489942,,,55.4,52.577,,,,,62.83000183,96.69999695,35.5,49.25,52.09000015,47.11000061,33.81000137,45.53572123,,,,,,,,67.76279553,14.19999981,0.639999986,4.75,0.779999971,0.74000001,
Channel Islands,CHI,,,,,,,,,,,,50.52904467,,,84.79799999999999,80.97399999999999,,,,,47.95999908,,,,,,,44.62912895,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,13.05471802,,,50.72703184,,,82.381,77.55199999999999,,,,,47.49000168,29.94000053,30.29000092,49.25,77.19999695,34.75999832,56.29000092,42.22438839,,,,,,,,69.61130742,7.340000152999999,8.020000458,8.510000229,7.989999771,20.20000076,
China,CHN,,,,,,,,,13.0906477,95.15933228,99.78337859999999,48.67937396,,,79.051,74.54899999999999,,,,,58.84999847,,,,,,,43.71882839,,,,,,,15.347220000000002,,,,,,,
Colombia,COL,12.33598995,55.75302124,22.73015022,79.37381744,22.73015022,50.97835159,3.688040018,,12.70421314,95.31891632,99.06960297,50.9257717,,,79.859,74.33,,,,,50.47000122,59.27999878,44.84000015,57.00999832,73.76000214,44.93000031,62.18000031,42.941180100000004,,,,,,,,70.82867416,12.94999981,8.880000114,14.02000046,11.78999996,24.04999924,
