Time,Time Code,Country Name,Country Code,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) [SE.TER.CUAT.BA.FE.ZS]","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.LO.FE.ZS]","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.PO.FE.ZS]","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) [SE.PRM.CUAT.FE.ZS]","Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative) [SE.TER.CUAT.ST.FE.ZS]","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.UP.FE.ZS]","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative) [SE.TER.CUAT.MS.FE.ZS]","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative) [SE.TER.CUAT.DO.FE.ZS]",Expected Years of School [HD.HCI.EYRS],"Expected Years of School, Female [HD.HCI.EYRS.FE]","Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, youth female (% of females ages 15-24) [SE.ADT.1524.LT.FE.ZS]","Population, female (% of total) [SP.POP.TOTL.FE.ZS]",Population ages 65 and above (% of total) [SP.POP.65UP.TO.ZS],Population ages 15-64 (% of total) [SP.POP.1564.TO.ZS],Population ages 0-14 (% of total) [SP.POP.0014.TO.ZS],"Life expectancy at age 60, female (years) [SP.DYN.LE60.FE.IN]","Life expectancy at age 60, male (years) [SP.DYN.LE60.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]",GDP per capita (Current US$) [NY.GDP.PCAP.CD],Female migrants (% of international migrant stock) [SG.POP.MIGR.FE.ZS],"Coming up with emergency funds: possible, female (% age 15+) [fin24a.t.a.2]","Credit card ownership, female  (% age 15+) [fin7.t.a.2]","Debit card ownership, female (% age 15+) [fin2.t.a.2]","Employment to population ratio, 15+, female (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.FE.ZS]","Informal employment, female (% of total non-agricultural employment) [SL.ISV.IFRM.FE.ZS]","Labor force participation rate for ages 15-24, female (%) (national estimate) [SL.TLF.ACTI.1524.FE.NE.ZS]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]","Labor force with advanced education, female (% of female working-age population with advanced education) [SL.TLF.ADVN.FE.ZS]","Labor force with basic education, female (% of female working-age population with basic education) [SL.TLF.BASC.FE.ZS]","Labor force with intermediate education, female (% of female working-age population with intermediate education) [SL.TLF.INTM.FE.ZS]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Main source of emergency funds: family or friends, female  (% able to raise funds, age 15+) [fin25b.t.a.s.2]","Main source of emergency funds: loan from a bank, employer, or private lender, female (% able to raise funds, age 15+) [fin25d.a.s.2]","Main source of emergency funds: money from working, female (% able to raise funds, age 15+) [fin25c.a.s.2]","Main source of emergency funds: other, female (% able to raise funds, age 15+) [fin25f.a.s.2]","Main source of emergency funds: sale of assets, female  (% able to raise funds, age 15+) [fin25e.a.s.2]","Main source of emergency funds: savings, female (% able to raise funds, age 15+) [fin25a.t.a.s.2]","Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day) [SG.TIM.UWRK.FE]",Ratio of female to male labor force participation rate (%) (national estimate) [SL.TLF.CACT.FM.NE.ZS],"Unemployment with advanced education, female (% of female labor force with advanced education) [SL.UEM.ADVN.FE.ZS]","Unemployment with basic education, female (% of female labor force with basic education) [SL.UEM.BASC.FE.ZS]","Unemployment with intermediate education, female (% of female labor force with intermediate education) [SL.UEM.INTM.FE.ZS]","Unemployment, female (% of female labor force) (national estimate) [SL.UEM.TOTL.FE.NE.ZS]","Unemployment, youth female (% of female labor force ages 15-24) (national estimate) [SL.UEM.1524.FE.NE.ZS]","Immunization, DPT (% of children ages 12-23 months) [SH.IMM.IDPT]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]","Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]","Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]","Mortality rate, under-5, female (per 1,000 live births) [SH.DYN.MORT.FE]","Mortality rate, under-5, male (per 1,000 live births) [SH.DYN.MORT.MA]","Suicide mortality rate, female (per 100,000 female population) [SH.STA.SUIC.FE.P5]","Suicide mortality rate, male (per 100,000 male population) [SH.STA.SUIC.MA.P5]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Contraceptive prevalence, any methods (% of women ages 15-49) [SP.DYN.CONU.ZS]","Contraceptive prevalence, modern methods (% of women ages 15-49) [SP.DYN.CONM.ZS]"
2010,YR2010,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,48.8247576,2.328131562,49.49372303,48.17814541,..,..,62.459,59.683,543.3030419,43.55867222,..,..,..,12.89999962,..,..,..,..,..,..,15.47916915,..,..,..,..,..,..,..,..,..,..,..,..,..,66,62,954,60,67.9,83.7,91.3,3.9,4.6,5.977,113.715,21.8,19.9
2010,YR2010,Albania,ALB,..,..,..,..,..,..,..,..,11.61565018,11.69121552,..,..,49.62505457,10.64540541,66.89951198,22.45508261,..,..,79.302,74.145,4094.350334,49.03569263,..,..,..,38.49000168,..,27.18000031,46.86000061,78.33000183,44.29999924,47.65999985,42.44407193,..,..,..,..,..,..,..,73.25308694,14.39000034,13.81999969,19.73999977,15.84000015,31.84000015,99,99,21,10.3,13.3,11.9,14.6,6.1,9.5,1.66,19.8208,..,..
2010,YR2010,Algeria,DZA,..,..,..,..,..,..,..,..,11.32690144,11.62978268,..,..,49.52015917,5.456205838,67.26101388,27.28278029,..,..,76.152,73.766,4479.34172,47.1216423,..,..,..,11.63000011,..,8.930000305,14.15999985,..,..,..,16.88281139,..,..,..,..,..,..,..,20.56346169,..,..,..,19.10000038,37.56999969,95,95,115,22.1,25,25.9,28.9,2.2,3.8,2.86,10.8084,..,..
2010,YR2010,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10271.22452,48.6393547,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2010,YR2010,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40852.66678,47.57842968,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99,99,..,3.8,4.6,4.1,5.1,..,..,1.27,..,..,..
2010,YR2010,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,50.55165755,2.360756091,50.59763029,47.04161362,..,..,58.033,52.848,3587.883798,51.7427121,..,..,..,67.48999786,..,58.81000137,75.66000366,..,..,..,49.85010049,..,..,..,..,..,..,..,95.73580265,..,..,..,10.86999989,20.86000061,51,62,326,68.5,82.8,112.1,127.7,2.9,11.2,6.194,172.9316,..,..
2010,YR2010,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,52.15494718,7.357886127,68.30213114,24.33998273,..,..,77.121,74.439,13049.25705,55.36877177,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98,98,44,7.9,9.4,9.1,10.9,0,0.3,1.988,48.664,..,..
2010,YR2010,Argentina,ARG,..,52.26168823,20.30521965,89.43295288,20.30521965,..,..,..,12.58978558,12.92204571,98.92807007,99.58866882,51.34274218,10.19502466,63.76901689,26.03595845,..,..,78.646,71.837,10385.96443,53.94707626,..,..,..,43.54000092,49.5,32.52000046,48.04999924,79.86000061,34.88999939,53.99000168,41.38429108,..,..,..,..,..,..,17.5,65.04670022,3.529999971,10.90999985,12.06999969,9.170000076,23.62000084,94,95,51,11.5,14.2,12.9,15.9,3.2,14.2,2.346,63.3154,..,..
2010,YR2010,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,53.20806141,10.99384531,69.54546924,19.46068545,..,..,76.383,69.989,3218.372707,59.4268448,..,..,..,36.93999863,..,..,52.20000076,62.47000122,31.98999977,52.25,45.70267064,..,..,..,..,..,..,..,72.19916813,22.92000008,7.820000172,21.92000008,21.22999954,47.95999908,94,97,32,14.6,18.3,16.4,20.5,3.5,10.5,1.722,26.0192,54.9,26.8
2010,YR2010,Aruba,ABW,12.84414005,58.69797897,32.07458878,90.62680054,..,32.07458878,..,0,..,..,96.71977997,99.32309723,52.3287267,10.28828847,68.83809224,20.87361929,..,..,77.425,72.517,23512.6026,55.39662656,..,..,..,..,..,..,59.52000046,..,..,..,..,..,..,..,..,..,..,..,86.36100122,..,..,..,10.43000031,27.52000046,..,..,..,..,..,..,..,..,..,1.768,30.652,..,..
2010,YR2010,Australia,AUS,..,93.35150146,45.13925934,99.86373138,40.85512161,70.60215759,..,..,12.88420105,12.92679977,..,..,49.99084392,13.37655581,67.59110796,19.03233624,..,..,84,79.5,52022.1256,50.33078474,..,..,..,55.61000061,..,67.19000244,58.61000061,81.87999725,56.47999954,74.16999817,45.08707271,..,..,..,..,..,..,..,80.99778899,2.960000038,8.710000038,5.760000229,5.380000114,11.13000011,92,94,5,3.6,4.4,4.3,5.2,5.7,17.7,1.928,14.2212,..,..
