Order,Family,Genus,Species,Subspecies,Genus_Species,Sample size,Sex,Method,Body weight (g),SVL (mm),Brain weight (g),Brain volume (mm3),Age Class,Species Name in original article,Reference,Remark
Anura,Alytidae,Alytes,obstetricans,,Alytes_obstetricans,1,unknown,Mass,7.7,,0.041,,unknown,,Dubois E (1913) On the relation between the quantity of brain and the size of the body in vertebrates,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,18.5439,60.24,0.0453,22,adult,,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,11.7013,61.54,0.05298,26.8,adult,,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,22.4508,59.8,0.0587,29.87,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,23.5498,60.39,0.0338,,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,23.091,60.51,0.04,,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,20.6702,61.89,0.041,,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,18.5245,50.94,0.0482,18.76,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,16.8925,54.76,0.0443,24.5,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,16.705,56.43,0.0393,18.44,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,20.8968,57.95,0.0589,26.41,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,19.4536,58.11,0.047,22.15,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bombinatoridae,Bombina,maxima,,Bombina_maxima,1,m,Mass,23.7264,59.24,0.0511,23.41,adult,,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,bufo,,Bufo_bufo,1,unknown,Mass,44.5,,0.073,,unknown,Bufo vulgaris,Dubois E (1913) On the relation between the quantity of brain and the size of the body in vertebrates,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,23.531,71.1,0.093828,52.33,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,25.522,76.54,0.097572,54.67,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,24.5213,72.94,0.098564,55.29,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,19.325,70.86,0.105108,59.38,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,21.454,72.92,0.10554,59.65,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,23.567,73.84,0.108724,61.64,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,22.5478,74.3,0.109604,62.19,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,31.5541,84,0.120788,69.18,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,21.5535,71.24,0.121204,69.44,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,30.5123,78.24,0.124916,71.76,adult,Bufo_andrewsi,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,83.55,84.94,0.099108,55.63,adult,,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,89.48,106.08,0.107156,60.66,adult,,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,89.88,110.18,0.111636,63.46,adult,,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,89.59,95.59,0.120196,68.81,adult,,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,87.86,99.16,0.127236,73.21,adult,,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,87.61,101.2,0.13714,79.4,adult,,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,40.835,67.64,0.060836,31.71,adult,Bufo_minshanicus,Zeng ZB et al. (2016) Ecol. Evol. 6:7070-7079,"Used emprical data converting anuran brain volume to brain mass: mass (g) = 0.0016 * vol (mm3) + 0.0101, based on corresponding mass and volume data from Zeng et al (2016) and Liao et al. (2016)"
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,23.9,57.33,0.1045,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,32.83,67.25,0.0949,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,28.27,71.32,0.1225,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,39.05,71.64,0.1227,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,32.85,73.37,0.1033,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,33.39,74.44,0.1383,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,33.54,75.04,0.1053,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,31.78,75.58,0.1448,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,35.21,77.28,0.148,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,45.37,77.87,0.1201,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,42.44,78.76,0.087,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,40.66,78.76,0.1485,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,34.93,79.21,0.1278,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
Anura,Bufonidae,Bufo,gargarizans,,Bufo_gargarizans,1,m,Mass,41.52,79.4,0.1183,,adult,Bufo_andrewsi,Liao WB et al. (2016) Am.Nat. 188:693-700,
