Order,Family,Genus,Species,Subspecies,Genus_species,Sample size,Sex,Method,Body weight (g),SVL (mm),Brain weight (g),Brain volume (mm3),Age Class,Species Name in original article,Reference,Remark
Crocodilia,Alligatoridae,Alligator,mississippiensis,,Alligator_mississippiensis,1,m,Mass,205000,,14.08,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Crocodilia,Alligatoridae,Alligator,mississippiensis,,Alligator_mississippiensis,1,m,Mass,173000,,11.2,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Crocodilia,Crocodylidae,Crocodylus,acutus,,Crocodylus_acutus,1,f,Mass,134000,,15.6,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,Cat.nm:183
Crocodilia,Crocodylidae,Crocodylus,acutus,,Crocodylus_acutus,1,unknown,Mass,110000,,11,,Adult,,Specter WS (1956) Handbook of Biological Data,
Squamata,Agamidae,Agama,agama,,Agama_agama,1,unknown,Mass,29.3,,0.173,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Agamidae,Agama,inermis,,Trapelus_mutabilis,1,unknown,Mass,12.9,,0.099,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Agamidae,Calotes,versicolor,,Calotes_versicolor,1,unknown,Mass,14.6,,0.097,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Agamidae,Uromastyx,acanthinurus,,Uromastyx_acanthinura,1,unknown,Mass,164,,0.335,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Anguidae,Anguis,fragilis,,Anguis_fragilis,1,unknown,Mass,16.252,,0.039,,unknown,,Dubois E (1913) On the relation between the quantity of brain and the size of the body in vertebrates,
Squamata,Anguidae,Anguis,fragilis,,Anguis_fragilis,1,unknown,Mass,18.9,,0.037,,unknown,,Dubois E (1913) On the relation between the quantity of brain and the size of the body in vertebrates,
Squamata,Anguidae,Anguis,fragilis,,Anguis_fragilis,1,unknown,Mass,22,,0.044,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Boidae,Boa,constrictor,,Boa_constrictor,1,unknown,Mass,1829,,0.44,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Boidae,Boa,constrictor,,Boa_constrictor,1,unknown,Mass,4460,,0.649,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Chamaeleonidae,Chamaeleo,lateralis,,Furcifer_lateralis,1,unknown,Mass,10.9,,0.061,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Colubridae,Coluber,constrictor,,Coluber_constrictor,1,f,Mass,590,,0.271,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Colubridae,Coluber,constrictor,,Coluber_constrictor,1,m,Mass,286,,0.303,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Colubridae,Coluber,constrictor,,Coluber_constrictor,1,m,Mass,417,,0.299,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Colubridae,Coluber,viridiflavus,,Hierophis_viridiflavus,1,unknown,Mass,285.1,,0.209,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Colubridae,Coronella,girondica,,Coronella_girondica,1,unknown,Mass,117,,0.088,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Colubridae,Elaphe,longissima,,Zamenis_longissimus,1,unknown,Mass,148.2,,0.168,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Colubridae,Natrix,maura,,Natrix_maura,1,unknown,Mass,86,,0.095,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Colubridae,Natrix,natrix,,Natrix_natrix,20,both,Mass,70,,0.1,,Adult,Tropidonotus natrix,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Colubridae,Natrix,natrix,,Natrix_natrix,1,unknown,Mass,74.1,,0.115,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Colubridae,Thamnophis,sirtalis,,Thamnophis_sirtalis,1,f,Mass,52,,0.077,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Colubridae,Thamnophis,sirtalis,,Thamnophis_sirtalis,1,f,Mass,57,,0.123,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Colubridae,Zamenis,lineatus,,Zamenis_lineatus,6,both,Mass,220,,0.209,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Cordylidae,Cordylus,cordylus,,Cordylus_cordylus,1,unknown,Mass,56.5,,0.175,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Dactyloidae,Anolis,auratus,,Anolis_auratus,1,unknown,Mass,10.5,,0.073,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Dactyloidae,Anolis,cristatellus,,Anolis_cristatellus,10,unknown,Vol,9.56,66.23,0.098087548,0.0946791,Adult,,Powell BJ and Leal M (2012) Brain Behav. Evol. 80:170-180,
Squamata,Dactyloidae,Anolis,evermanni,,Anolis_evermanni,10,unknown,Vol,4.95,58.86,0.072569106,0.0700474,Adult,,Powell BJ and Leal M (2012) Brain Behav. Evol. 80:170-180,
Squamata,Dactyloidae,Anolis,gundlachi,,Anolis_gundlachi,10,unknown,Vol,6.29,62.22,0.09082757,0.0876714,Adult,,Powell BJ and Leal M (2012) Brain Behav. Evol. 80:170-180,
Squamata,Dactyloidae,Anolis,krugi,,Anolis_krugi,10,unknown,Vol,2.43,46.1,0.050108834,0.0483676,Adult,,Powell BJ and Leal M (2012) Brain Behav. Evol. 80:170-180,
Squamata,Dactyloidae,Anolis,pulchellus,,Anolis_pulchellus,8,unknown,Vol,1.86,43.62,0.041007056,0.0395821,Adult,,Powell BJ and Leal M (2012) Brain Behav. Evol. 80:170-180,
Squamata,Dactyloidae,Anolis,stratulus,,Anolis_stratulus,10,unknown,Vol,2.19,45.36,0.071019872,0.068552,Adult,,Powell BJ and Leal M (2012) Brain Behav. Evol. 80:170-180,
Squamata,Elapidae,Naja,melanoleuca,,Naja_melanoleuca,1,unknown,Mass,1770,,0.646,,Adult,,Dubois E (1913) On the relation between the quantity of brain and the size of the body in vertebrates,
Squamata,Gekkonidae,Gekko,gecko,,Gekko_gecko,1,unknown,Mass,54.8,,0.198,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Gekkonidae,Hemidactylus,brookii,,Hemidactylus_brookii,4,unknown,Mass,4.7,,0.043,,unknown,,Dubois E (1913) On the relation between the quantity of brain and the size of the body in vertebrates,
Squamata,Gekkonidae,Hemidactylus,mabouia,,Hemidactylus_mabouia,1,unknown,Mass,2.5,,0.033,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Gekkonidae,Phelsuma,cepediana,,Phelsuma_cepediana,1,unknown,Mass,5,,0.059,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Gekkoninae,Tarentola,mauritanica,,Tarentola_mauritanica,1,unknown,Mass,7.8,,0.07,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Gerrhosauridae,Zonosaurus,maximus,,Zonosaurus_maximus,1,unknown,Mass,386.4,,0.565,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Gerrhosauridae,Zonosaurus,quadrilineatus,,Zonosaurus_quadrilineatus,1,unknown,Mass,82.7,,0.209,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Iguanidae,Amblyrhynchus,cristatus,,Amblyrhynchus_cristatus,1,unknown,Mass,4190,,1.44,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Iguanidae,Iguana,iguana,,Iguana_iguana,1,unknown,Mass,253.5,,0.606,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Iguanidae,Liolaemus,chiliensis,,Liolaemus_chiliensis,1,unknown,Mass,26,,0.1035,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Lacertidae,Lacerta,agilis,,Lacerta_agilis,2,unknown,Mass,12.057,,0.076,,unknown,,Dubois E (1913) On the relation between the quantity of brain and the size of the body in vertebrates,
Squamata,Lacertidae,Lacerta,lepida,,Timon_lepidus,1,unknown,Mass,70.8,,0.224,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Lacertidae,Lacerta,muralis,,Podarcis_muralis,1,unknown,Mass,4.2,,0.046,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
