hdi_rank,country,gender_inequality,maternal_mortality,parliament_pct_women,labor_participation_women,labor_participation_men
1,Norway,0.045,2,40.8,60.4,67.2
2,Ireland,0.093,5,24.3,56,68.4
2,Switzerland,0.025,5,38.6,62.9,73.8
4,"Hong Kong, China (SAR)",..,..,..,54,67.5
4,Iceland,0.058,4,38.1,70.8,79.2
6,Germany,0.084,7,31.6,55.3,66.6
7,Sweden,0.039,4,47.3,61.4,67.8
8,Australia,0.097,6,36.6,60.3,70.9
8,Netherlands,0.043,5,33.8,58.3,69.1
10,Denmark,0.038,4,39.1,58.2,66.3
11,Finland,0.047,3,47,55.5,62.8
11,Singapore,0.065,8,23,62,78.3
13,United Kingdom,0.118,7,28.9,57.6,68.1
14,Belgium,0.043,5,43.3,48.6,58.7
14,New Zealand,0.123,9,40.8,64.8,75.3
16,Canada,0.08,10,33.2,60.8,69.4
17,United States,0.204,19,23.7,56.1,68.2
18,Austria,0.069,5,38.5,55.1,66.6
19,Israel,0.109,3,23.3,59.7,68.5
19,Japan,0.094,5,14.5,52.7,71.3
19,Liechtenstein,..,..,12,..,..
22,Slovenia,0.063,7,22.3,53.4,63.4
23,Korea (Republic of),0.064,11,16.7,52.9,73.1
23,Luxembourg,0.065,5,25,54.9,63.7
25,Spain,0.07,4,41.9,51.9,63.4
26,France,0.049,8,36.9,50.8,59.9
27,Czechia,0.136,3,20.6,52.9,68.5
28,Malta,0.175,6,14.9,46,67.1
29,Estonia,0.086,9,29.7,57.1,71
29,Italy,0.069,2,35.3,40.8,59
31,United Arab Emirates,0.079,3,50,52.4,93.4
32,Greece,0.116,3,20.7,44.2,59.8
33,Cyprus,0.086,6,17.9,57.8,68.3
34,Lithuania,0.124,8,21.3,56.5,67.7
35,Poland,0.115,2,27.9,48.6,65.5
36,Andorra,..,..,46.4,..,..
37,Latvia,0.176,19,30,55.7,68.4
38,Portugal,0.075,8,38.7,54.2,64.1
39,Slovakia,0.191,5,20,52.2,67.4
40,Hungary,0.233,12,12.6,48.5,65.5
40,Saudi Arabia,0.252,17,19.9,22.1,78.4
42,Bahrain,0.212,14,18.8,45,87.2
43,Chile,0.247,13,22.7,51.8,74
43,Croatia,0.116,8,20.5,45.4,57.5
45,Qatar,0.185,9,9.8,56.8,94.7
46,Argentina,0.328,39,39.9,50.7,72.7
47,Brunei Darussalam,0.255,31,9.1,57.8,71
48,Montenegro,0.109,6,28.4,46.5,62.8
49,Romania,0.276,19,19.6,45.3,64.7
50,Palau,..,..,13.8,..,..
51,Kazakhstan,0.19,10,22.1,62.7,75.5
52,Russian Federation,0.225,17,16.5,54.8,70.2
53,Belarus,0.118,2,34.9,57.7,71.8
54,Turkey,0.306,17,17.4,34,72.6
55,Uruguay,0.288,17,20.9,55.6,73.3
56,Bulgaria,0.206,10,25.8,49.2,62
57,Panama,0.407,52,21.1,53.4,79.9
58,Bahamas,0.341,70,21.8,68.1,81.6
58,Barbados,0.252,27,29.4,61.7,69.1
60,Oman,0.306,19,9.9,31,89.9
61,Georgia,0.331,25,14.8,57.4,80.8
62,Costa Rica,0.288,27,45.6,48.1,76.2
62,Malaysia,0.253,29,15.5,50.7,77.1
64,Kuwait,0.242,12,4.6,49.7,87.5
64,Serbia,0.132,12,37.7,47.4,62.8
66,Mauritius,0.347,61,20,45.2,72
67,Seychelles,..,53,21.2,..,..
67,Trinidad and Tobago,0.323,67,32.9,50.1,70.2
69,Albania,0.181,15,29.5,46.7,64.6
70,Cuba,0.304,36,53.2,40.7,66.8
70,Iran (Islamic Republic of),0.459,16,5.9,17.5,71.5
72,Sri Lanka,0.401,36,5.3,35.4,74.6
73,Bosnia and Herzegovina,0.149,10,21.1,35.4,58.1
74,Grenada,..,25,39.3,..,..
74,Mexico,0.322,33,48.4,44.2,78.5
74,Saint Kitts and Nevis,..,..,13.3,..,..
74,Ukraine,0.234,19,20.5,46.7,63.1
78,Antigua and Barbuda,..,42,31.4,..,..
79,Peru,0.395,88,30,70.3,85.1
79,Thailand,0.359,37,14.1,59.2,76.1
81,Armenia,0.245,26,23.5,47.1,65.9
82,North Macedonia,0.143,7,39.2,43,67.3
83,Colombia,0.428,83,19.6,57.3,80.9
84,Brazil,0.408,60,15,54.2,74.1
85,China,0.168,29,24.9,60.5,75.3
86,Ecuador,0.384,59,38,55.2,81.1
86,Saint Lucia,0.401,117,20.7,59.5,75
88,Azerbaijan,0.323,26,16.8,63.4,69.7
88,Dominican Republic,0.455,95,24.3,51.4,77.4
90,Moldova (Republic of),0.204,19,25.7,40.5,46
91,Algeria,0.429,112,21.5,14.6,67.4
92,Lebanon,0.411,29,4.7,22.9,71.4
93,Fiji,0.37,34,19.6,38.5,76.5
94,Dominica,..,..,25,..,..
95,Maldives,0.369,53,4.6,41.6,84.2
95,Tunisia,0.296,43,22.6,23.8,69.4
97,Saint Vincent and the Grenadines,..,68,13,54.4,77
97,Suriname,0.436,120,31.4,38.8,63.7
99,Mongolia,0.322,45,17.3,53.3,66.4
100,Botswana,0.465,144,10.8,65.4,76.9
101,Jamaica,0.396,80,19,59.8,72.5
102,Jordan,0.45,46,15.4,14.4,63.7
103,Paraguay,0.446,84,16.8,59.2,84.6
104,Tonga,0.354,52,7.4,45.7,74.3
105,Libya,0.252,72,16,33.9,65.3
106,Uzbekistan,0.288,29,16.4,52.4,78.1
107,Bolivia (Plurinational State of),0.417,155,51.8,63.2,80.5
107,Indonesia,0.48,177,17.4,53.1,81.9
107,Philippines,0.43,121,28,46.1,73.3
110,Belize,0.415,36,11.1,49.9,80.6
111,Samoa,0.36,43,10,31.1,55.5
111,Turkmenistan,..,7,25,51.4,78.3
113,Venezuela (Bolivarian Republic of),0.479,125,22.2,45.4,74.9
114,South Africa,0.406,119,45.3,49.6,62.7
115,"Palestine, State of",..,27,..,17.7,69.5
116,Egypt,0.449,37,14.9,21.9,70.9
117,Marshall Islands,..,..,6.1,..,..
117,Viet Nam,0.296,43,26.7,72.7,82.4
119,Gabon,0.525,252,17.9,43.5,61.8
120,Kyrgyzstan,0.369,60,19.2,44.8,75.7
121,Morocco,0.454,70,18.4,21.5,70.1
122,Guyana,0.462,169,31.9,43.9,68.5
123,Iraq,0.577,79,25.2,11.6,74.2
124,El Salvador,0.383,46,31,45.3,75.7
125,Tajikistan,0.314,17,20,31.3,52.8
126,Cabo Verde,0.397,58,23.6,53.3,67.6
127,Guatemala,0.479,95,19.4,39.9,86.3
128,Nicaragua,0.428,98,44.6,49.7,84.2
129,Bhutan,0.421,183,15.3,58.9,73.4
130,Namibia,0.44,195,37,56.1,63.3
131,India,0.488,133,13.5,20.5,76.1
132,Honduras,0.423,65,21.1,52,85.9
133,Bangladesh,0.537,173,20.6,36.3,81.4
134,Kiribati,..,92,6.5,..,..
135,Sao Tome and Principe,0.537,130,14.5,41.4,74.4
136,Micronesia (Federated States of),..,88,0,..,..
137,Lao People's Democratic Republic,0.459,185,27.5,76.7,80.2
138,Eswatini (Kingdom of),0.567,437,12.1,48.5,56.8
138,Ghana,0.538,308,13.1,63.6,71.9
140,Vanuatu,..,72,0,61,78.8
141,Timor-Leste,..,142,38.5,61.9,72.7
142,Nepal,0.452,186,33.5,82.8,85.1
143,Kenya,0.518,342,23.3,72.1,77.3
144,Cambodia,0.474,160,19.3,76.3,88.9
145,Equatorial Guinea,..,301,19.2,54.8,67.1
146,Zambia,0.539,213,18,70.4,79.1
147,Myanmar,0.478,250,11.6,47.5,77.4
148,Angola,0.536,241,30,76.1,78.9
149,Congo,0.57,378,13.6,67.5,71.4
150,Zimbabwe,0.527,458,34.6,78.1,89
151,Solomon Islands,..,104,4.1,82.1,85.6
151,Syrian Arab Republic,0.482,31,13.2,14.4,74.1
153,Cameroon,0.56,529,29.3,71.1,81.1
154,Pakistan,0.538,140,20,21.9,81.7
155,Papua New Guinea,0.725,145,0,46.3,48
156,Comoros,..,273,6.1,36.6,49.9
157,Mauritania,0.634,766,20.3,28.9,63.1
158,Benin,0.612,397,7.2,68.8,73
159,Uganda,0.535,375,34.9,67,73.9
160,Rwanda,0.402,248,55.7,83.9,83.4
161,Nigeria,..,917,4.1,47.9,57.9
162,Côte d'Ivoire,0.638,617,13.3,48.2,65.5
163,Tanzania (United Republic of),0.556,524,36.9,79.6,87.3
164,Madagascar,..,335,16.9,83.4,88.9
165,Lesotho,0.553,544,23,60.2,75.9
166,Djibouti,..,248,26.2,50.7,68.8
167,Togo,0.573,396,16.5,76.3,78.9
168,Senegal,0.533,315,41.8,35,57.5
169,Afghanistan,0.655,638,27.2,21.6,74.7
170,Haiti,0.636,480,2.7,61.9,72.8
170,Sudan,0.545,295,27.5,29.1,68.2
172,Gambia,0.612,597,10.3,51.2,68
173,Ethiopia,0.517,401,37.3,73.4,85.8
174,Malawi,0.565,349,22.9,72.6,81.1
175,Congo (Democratic Republic of the),0.617,473,12,60.7,66.3
175,Guinea-Bissau,..,667,13.7,65.8,78.7
175,Liberia,0.65,661,11.7,72.1,80.6
178,Guinea,..,576,22.8,62.7,60.2
179,Yemen,0.795,164,1,5.8,70.2
180,Eritrea,..,480,22,71.5,85.5
181,Mozambique,0.523,289,41.2,77.3,79
182,Burkina Faso,0.594,320,13.4,58.3,74.8
182,Sierra Leone,0.644,"1,120",12.3,57.3,58.5
184,Mali,0.671,562,9.5,61.2,80.6
185,Burundi,0.504,548,38.8,80.4,77.8
185,South Sudan,..,"1,150",26.6,71,73.8
187,Chad,0.71,"1,140",14.9,63.9,77.5
188,Central African Republic,0.68,829,8.6,64.4,79.8
189,Niger,0.642,509,17,60.6,83.7
