hdi_rank,country,inequality,inequality_adjusted_life,inequality_adjusted_education,inequality_adjusted_income
1,Norway,6.0,0.931,0.908,0.858
2,Ireland,7.2,0.926,0.892,0.838
2,Switzerland,6.8,0.947,0.883,0.841
4,"Hong Kong, China (SAR)",12.6,0.973,0.793,0.724
4,Iceland,5.6,0.946,0.900,0.841
6,Germany,7.9,0.908,0.922,0.786
7,Sweden,6.5,0.938,0.884,0.828
8,Australia,7.9,0.940,0.899,0.771
8,Netherlands,6.9,0.928,0.865,0.843
10,Denmark,6.0,0.903,0.894,0.853
11,Finland,5.3,0.924,0.907,0.835
11,Singapore,12.8,0.954,0.751,0.750
13,United Kingdom,7.9,0.905,0.902,0.769
14,Belgium,7.7,0.914,0.828,0.837
14,New Zealand,7.5,0.917,0.909,0.759
16,Canada,8.4,0.916,0.870,0.766
17,United States,12.1,0.848,0.875,0.711
18,Austria,6.9,0.912,0.840,0.821
19,Israel,10.9,0.937,0.833,0.691
19,Japan,8.1,0.965,0.812,0.763
19,Liechtenstein,..,..,..,..
22,Slovenia,4.6,0.916,0.891,0.820
23,Korea (Republic of),10.7,0.941,0.789,0.731
23,Luxembourg,9.6,0.925,0.756,0.806
25,Spain,13.1,0.949,0.691,0.732
26,France,8.9,0.927,0.740,0.804
27,Czechia,4.4,0.886,0.878,0.818
28,Malta,7.9,0.918,0.774,0.786
29,Estonia,6.9,0.871,0.862,0.758
29,Italy,11.8,0.947,0.709,0.716
31,United Arab Emirates,..,0.845,0.656,..
32,Greece,10.8,0.924,0.755,0.709
33,Cyprus,9.1,0.904,0.740,0.779
34,Lithuania,10.0,0.813,0.863,0.706
35,Poland,7.6,0.865,0.826,0.752
36,Andorra,..,..,0.648,..
37,Latvia,9.2,0.805,0.861,0.694
38,Portugal,11.8,0.921,0.653,0.731
39,Slovakia,6.1,0.841,0.813,0.770
40,Hungary,7.3,0.838,0.796,0.743
40,Saudi Arabia,..,0.794,0.647,..
42,Bahrain,..,0.833,0.594,..
43,Chile,15.9,0.868,0.726,0.567
43,Croatia,7.9,0.861,0.767,0.727
45,Qatar,..,0.874,0.581,..
46,Argentina,13.2,0.797,0.804,0.606
47,Brunei Darussalam,..,0.794,..,..
48,Montenegro,9.4,0.844,0.740,0.673
49,Romania,11.4,0.808,0.724,0.664
50,Palau,..,..,0.839,..
51,Kazakhstan,7.1,0.761,0.804,0.736
52,Russian Federation,10.0,0.751,0.789,0.683
53,Belarus,6.3,0.806,0.807,0.704
54,Turkey,16.5,0.808,0.611,0.645
55,Uruguay,12.6,0.821,0.715,0.614
56,Bulgaria,11.3,0.795,0.732,0.644
57,Panama,20.1,0.792,0.620,0.542
58,Bahamas,..,0.773,0.693,..
58,Barbados,15.9,0.831,0.739,0.502
60,Oman,12.9,0.831,0.633,0.671
61,Georgia,11.5,0.762,0.826,0.582
62,Costa Rica,17.5,0.862,0.642,0.521
62,Malaysia,..,0.811,0.638,..
64,Kuwait,..,0.803,0.497,..
64,Serbia,12.1,0.819,0.724,0.591
66,Mauritius,13.6,0.766,0.639,0.684
67,Seychelles,15.2,0.743,0.678,0.598
67,Trinidad and Tobago,..,0.701,..,..
69,Albania,10.9,0.836,0.655,0.648
70,Cuba,..,0.858,0.728,..
70,Iran (Islamic Republic of),11.3,0.792,0.719,0.585
72,Sri Lanka,13.8,0.815,0.657,0.568
73,Bosnia and Herzegovina,14.2,0.835,0.590,0.603
74,Grenada,..,0.716,..,..
74,Mexico,20.8,0.758,0.574,0.529
74,Saint Kitts and Nevis,..,..,..,..
74,Ukraine,6.5,0.742,0.770,0.675
78,Antigua and Barbuda,..,0.826,..,..
79,Peru,18.8,0.779,0.614,0.519
79,Thailand,16.7,0.810,0.557,0.596
81,Armenia,9.7,0.774,0.718,0.616
82,North Macedonia,11.8,0.791,0.646,0.619
