STATION,NAME,DATE,TMAX,TMIN
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/1/2021,65,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/2/2021,62,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/3/2021,60,42
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/4/2021,72,43
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/5/2021,61,40
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/6/2021,71,39
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/7/2021,73,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/8/2021,79,36
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/9/2021,71,39
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/10/2021,67,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/11/2021,67,36
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/12/2021,68,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/13/2021,70,39
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/14/2021,84,42
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/15/2021,82,42
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/16/2021,87,42
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/17/2021,84,46
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/18/2021,75,43
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/19/2021,73,47
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/20/2021,74,46
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/21/2021,70,42
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/22/2021,61,41
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/23/2021,59,40
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/24/2021,65,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/25/2021,55,44
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/26/2021,57,40
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/27/2021,54,48
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/28/2021,55,49
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/29/2021,55,42
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/30/2021,58,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1/31/2021,63,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/1/2021,66,45
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/2/2021,67,40
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/3/2021,69,44
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/4/2021,63,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/5/2021,66,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/6/2021,68,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/7/2021,60,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/8/2021,57,49
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/9/2021,59,49
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/10/2021,61,41
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/11/2021,59,42
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/12/2021,71,49
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/13/2021,68,47
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/14/2021,71,43
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/15/2021,67,47
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/16/2021,72,47
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/17/2021,73,43
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/18/2021,66,40
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/19/2021,63,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/20/2021,70,45
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/21/2021,68,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/22/2021,75,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/23/2021,75,39
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/24/2021,70,41
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/25/2021,66,39
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/26/2021,69,36
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/27/2021,76,43
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2/28/2021,68,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/1/2021,68,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/2/2021,66,36
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/3/2021,59,36
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/4/2021,62,37
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/5/2021,67,39
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/6/2021,69,43
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/7/2021,60,47
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/8/2021,69,47
