Year,CO,NO2,NO2,O3,PM10,PM2.5,PM2.5,Pb,SO2,State,City
2000,,,,,50.0,23.0,8.6,,, SD,Aberdeen
2001,,,,,58.0,23.0,8.6,,, SD,Aberdeen
2002,,,,,59.0,20.0,7.9,,, SD,Aberdeen
2003,,,,,66.0,21.0,8.4,,, SD,Aberdeen
2004,,,,,39.0,23.0,8.1,,, SD,Aberdeen
2005,,,,,48.0,23.0,9.0,,, SD,Aberdeen
2006,,,,,51.0,21.0,8.2,,, SD,Aberdeen
2007,,,,,49.0,17.0,8.0,,, SD,Aberdeen
2008,,,,,69.0,28.0,7.7,,, SD,Aberdeen
2009,,,,,53.0,23.0,8.1,,, SD,Aberdeen
2010,,,,,46.0,27.0,8.7,,, SD,Aberdeen
2011,,,,,29.0,18.0,7.1,,, SD,Aberdeen
2012,,,,,62.0,23.0,7.5,,, SD,Aberdeen
2013,,,,,66.0,22.0,7.3,,, SD,Aberdeen
2014,,,,,36.0,17.0,6.2,,, SD,Aberdeen
2015,,,,,43.0,14.0,6.2,,, SD,Aberdeen
2016,,,,,65.0,14.0,5.4,,, SD,Aberdeen
2017,,,,,40.0,13.0,5.8,,, SD,Aberdeen
2018,,,,,49.0,22.0,6.6,,, SD,Aberdeen
2019,,,,,35.0,18.0,5.9,,, SD,Aberdeen
2000,,,,0.08199999999999999,,,,,, MI,Adrian
2001,,,,0.086,,,,,, MI,Adrian
2002,,,,0.08900000000000001,,,,,, MI,Adrian
2003,,,,0.08800000000000001,,,,,, MI,Adrian
2004,,,,0.07400000000000001,,,,,, MI,Adrian
2005,,,,0.08199999999999999,,,,,, MI,Adrian
2006,,,,0.07400000000000001,,,,,, MI,Adrian
2007,,,,0.081,,,,,, MI,Adrian
2008,,,,0.07200000000000001,,,,,, MI,Adrian
2009,,,,0.067,,,,,, MI,Adrian
2010,,,,0.066,,,,,, MI,Adrian
2011,,,,0.076,,,,,, MI,Adrian
2012,,,,0.087,,,,,, MI,Adrian
2013,,,,0.064,,,,,, MI,Adrian
2014,,,,0.068,,,,,, MI,Adrian
2015,,,,0.065,,,,,, MI,Adrian
2016,,,,0.069,,,,,, MI,Adrian
2017,,,,0.066,,,,,, MI,Adrian
2018,,,,0.071,,,,,, MI,Adrian
2019,,,,0.059000000000000004,,,,,, MI,Adrian
2000,2.4,,,0.085,,37.0,16.2,,163.0, OH,Akron
2001,2.7,,,0.096,,44.0,16.2,,132.0, OH,Akron
2002,1.8,,,0.1,,40.0,16.0,,145.0, OH,Akron
2003,1.9,,,0.09,,34.0,14.1,,167.0, OH,Akron
2004,2.1,,,0.079,,35.0,13.8,,172.0, OH,Akron
2005,1.6,,,0.091,,43.0,15.7,,140.0, OH,Akron
2006,1.4,,,0.07400000000000001,,31.0,12.8,,138.0, OH,Akron
2007,1.4,,,0.087,,31.0,14.1,,46.0, OH,Akron
2008,1.3,,,0.075,,33.0,12.9,,34.0, OH,Akron
2009,1.8,,,0.067,,26.0,11.7,,31.0, OH,Akron
2010,1.4,,,0.07400000000000001,,32.0,12.4,,27.0, OH,Akron
2011,1.0,,,0.073,,25.0,11.1,,24.0, OH,Akron
2012,1.1,,,0.07200000000000001,,19.0,10.0,,22.0, OH,Akron
2013,0.8,,,0.059000000000000004,,24.0,9.7,,23.0, OH,Akron
2014,0.8,,,0.06,,22.0,9.9,,21.0, OH,Akron
2015,1.0,,,0.065,,23.0,10.4,,14.0, OH,Akron
2016,1.1,,,0.06,,17.0,8.2,,8.0, OH,Akron
2017,0.9,,,0.066,,18.0,7.9,,3.0, OH,Akron
2018,1.8,,,0.068,,18.0,7.9,,6.0, OH,Akron
2019,1.8,,,0.062,,21.0,8.2,,3.0, OH,Akron
2000,,,,,,38.0,16.6,,, GA,Albany
2001,,,,,,36.0,14.6,,, GA,Albany
2002,,,,,,31.0,13.8,,, GA,Albany
2003,,,,,,27.0,13.4,,, GA,Albany
2004,,,,,,36.0,14.1,,, GA,Albany
2005,,,,,,35.0,14.6,,, GA,Albany
2006,,,,,,35.0,14.9,,, GA,Albany
2007,,,,,,43.0,15.0,,, GA,Albany
2008,,,,,,32.0,12.8,,, GA,Albany
