GEOID_MSA,Name,Econ_Domain,Social_Domain,Env_Domain,Sustain_Index
310M300US10100,"Aberdeen, SD Micro Area",0.565263998,0.591259131,0.444471891,1.60099502
310M300US10140,"Aberdeen, WA Micro Area",0.427670715,0.520744124,0.429274486,1.377689325
310M300US10180,"Abilene, TX Metro Area",0.48109164,0.496873659,0.454191809,1.432157108
310M300US10220,"Ada, OK Micro Area",0.466566431,0.526205732,0.425964488,1.418736651
310M300US10300,"Adrian, MI Micro Area",0.497908391,0.602439536,0.282499343,1.38284727
310M300US10420,"Akron, OH Metro Area",0.491116298,0.578999011,0.326248108,1.396363416
310M300US10460,"Alamogordo, NM Micro Area",0.398821415,0.535297837,0.416241451,1.350360703
310M300US10500,"Albany, GA Metro Area",0.324109019,0.468263244,0.469605505,1.261977768
310M300US10540,"Albany, OR Metro Area",0.460757231,0.588661866,0.400522305,1.449941401
310M300US10580,"Albany-Schenectady-Troy, NY Metro Area",0.565585355,0.568286409,0.412462761,1.546334526
310M300US10620,"Albemarle, NC Micro Area",0.445682389,0.587394828,0.457463811,1.490541028
310M300US10660,"Albert Lea, MN Micro Area",0.531736795,0.634746945,0.43902199,1.605505729
310M300US10700,"Albertville, AL Micro Area",0.384731001,0.59845388,0.46328946,1.446474341
310M300US10740,"Albuquerque, NM Metro Area",0.44872909,0.570229742,0.484569687,1.503528518
310M300US10760,"Alexander City, AL Micro Area",0.388620394,0.585491774,0.458844301,1.432956469
310M300US10780,"Alexandria, LA Metro Area",0.420295366,0.508394491,0.421204982,1.349894839
310M300US10820,"Alexandria, MN Micro Area",0.562737987,0.642964369,0.459275478,1.664977834
310M300US10860,"Alice, TX Micro Area",0.380918172,0.503091873,0.453836717,1.337846762
310M300US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.53613116,0.591203659,0.490844576,1.618179395
310M300US10940,"Alma, MI Micro Area",0.391054982,0.564051001,0.240842175,1.195948158
310M300US10980,"Alpena, MI Micro Area",0.453621184,0.590404231,0.220821982,1.264847396
310M300US11020,"Altoona, PA Metro Area",0.482796225,0.586205995,0.447737069,1.516739289
310M300US11060,"Altus, OK Micro Area",0.459685562,0.482921403,0.418202513,1.360809478
310M300US11100,"Amarillo, TX Metro Area",0.508672609,0.558570864,0.521188215,1.588431688
310M300US11140,"Americus, GA Micro Area",0.281757223,0.482582885,0.452533409,1.216873518
310M300US11180,"Ames, IA Metro Area",0.493275947,0.589348072,0.472280631,1.554904649
310M300US11220,"Amsterdam, NY Micro Area",0.430262624,0.545200161,0.344778116,1.3202409
310M300US11260,"Anchorage, AK Metro Area",0.629251357,0.506542553,0.435386876,1.571180787
310M300US11380,"Andrews, TX Micro Area",0.559667868,0.606113956,0.455735241,1.621517065
310M300US11420,"Angola, IN Micro Area",0.554947289,0.554772161,0.403195705,1.512915156
310M300US11460,"Ann Arbor, MI Metro Area",0.550617871,0.599668317,0.308648217,1.458934405
310M300US11500,"Anniston-Oxford-Jacksonville, AL Metro Area",0.399655726,0.5682349,0.445075111,1.412965736
310M300US11540,"Appleton, WI Metro Area",0.606483692,0.643037862,0.407864009,1.657385563
310M300US11580,"Arcadia, FL Micro Area",0.329520259,0.571700515,0.45648769,1.357708464
310M300US11620,"Ardmore, OK Micro Area",0.440954876,0.531645431,0.443097121,1.415697428
310M300US11660,"Arkadelphia, AR Micro Area",0.434808325,0.550895856,0.48208904,1.46779322
310M300US11680,"Arkansas City-Winfield, KS Micro Area",0.481107551,0.526938841,0.431170527,1.439216919
310M300US11700,"Asheville, NC Metro Area",0.506599158,0.592277339,0.474516661,1.573393159
310M300US11740,"Ashland, OH Micro Area",0.525675425,0.611096115,0.344794381,1.481565921
310M300US11780,"Ashtabula, OH Micro Area",0.428613235,0.562204521,0.232538979,1.223356734
310M300US11820,"Astoria, OR Micro Area",0.52303651,0.523040965,0.455913148,1.501990624
310M300US11860,"Atchison, KS Micro Area",0.396853267,0.539150854,0.341407414,1.277411535
310M300US11900,"Athens, OH Micro Area",0.326452318,0.495649917,0.300852354,1.122954589
310M300US11940,"Athens, TN Micro Area",0.395948352,0.578229621,0.407530779,1.381708752
310M300US11980,"Athens, TX Micro Area",0.425211837,0.563094649,0.424643318,1.412949804
310M300US12020,"Athens-Clarke County, GA Metro Area",0.382569282,0.520374407,0.470921357,1.373865046
310M300US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",0.509765888,0.559745234,0.503432916,1.572944038
310M300US12100,"Atlantic City-Hammonton, NJ Metro Area",0.424031418,0.529389524,0.451490953,1.404911895
310M300US12120,"Atmore, AL Micro Area",0.30484852,0.559894393,0.452030825,1.316773738
310M300US12140,"Auburn, IN Micro Area",0.525461455,0.566389708,0.406546736,1.498397899
310M300US12180,"Auburn, NY Micro Area",0.509459998,0.550341377,0.330362174,1.390163549
310M300US12220,"Auburn-Opelika, AL Metro Area",0.433410459,0.555812995,0.452384124,1.441607578
310M300US12260,"Augusta-Richmond County, GA-SC Metro Area",0.427798048,0.551303666,0.473493993,1.452595707
310M300US12300,"Augusta-Waterville, ME Micro Area",0.508734719,0.573205405,0.444051,1.525991124
310M300US12380,"Austin, MN Micro Area",0.497815466,0.61311558,0.441110117,1.552041162
310M300US12420,"Austin-Round Rock, TX Metro Area",0.579545679,0.543976807,0.4680075,1.591529986
310M300US12460,"Bainbridge, GA Micro Area",0.323262474,0.46392327,0.433876333,1.221062077
310M300US12540,"Bakersfield, CA Metro Area",0.381596032,0.552166085,0.540754017,1.474516134
310M300US12580,"Baltimore-Columbia-Towson, MD Metro Area",0.600357441,0.59169878,0.503468709,1.695524931
310M300US12620,"Bangor, ME Metro Area",0.465343122,0.55317059,0.402601362,1.421115074
310M300US12660,"Baraboo, WI Micro Area",0.546337527,0.593078698,0.441624833,1.581041058
310M300US12680,"Bardstown, KY Micro Area",0.501464802,0.617391171,0.438362432,1.557218405
310M300US12700,"Barnstable Town, MA Metro Area",0.599742774,0.61962896,0.422865139,1.642236873
310M300US12740,"Barre, VT Micro Area",0.554571992,0.602033024,0.445077696,1.601682713
310M300US12780,"Bartlesville, OK Micro Area",0.487831802,0.565640608,0.432897914,1.486370324
310M300US12820,"Bastrop, LA Micro Area",0.321977095,0.537154151,0.424099517,1.283230764
310M300US12860,"Batavia, NY Micro Area",0.532880934,0.613677163,0.293360784,1.439918881
310M300US12900,"Batesville, AR Micro Area",0.423250416,0.556369352,0.44929987,1.428919638
310M300US12940,"Baton Rouge, LA Metro Area",0.480872084,0.548409909,0.460866039,1.490148032
310M300US12980,"Battle Creek, MI Metro Area",0.447939503,0.560261248,0.204435443,1.212636193
310M300US13020,"Bay City, MI Metro Area",0.441902253,0.619016571,0.362069692,1.422988516
310M300US13060,"Bay City, TX Micro Area",0.419221768,0.489553309,0.410309852,1.319084929
310M300US13100,"Beatrice, NE Micro Area",0.555817872,0.601456132,0.411172908,1.568446911
310M300US13140,"Beaumont-Port Arthur, TX Metro Area",0.44085217,0.531678369,0.454381456,1.426911995
310M300US13180,"Beaver Dam, WI Micro Area",0.558828623,0.612787978,0.431461174,1.603077775
310M300US13220,"Beckley, WV Metro Area",0.421520752,0.543607881,0.389860021,1.354988654
310M300US13260,"Bedford, IN Micro Area",0.518557534,0.597665105,0.367434976,1.483657614
310M300US13300,"Beeville, TX Micro Area",0.414558639,0.462629644,0.438687108,1.315875391
310M300US13340,"Bellefontaine, OH Micro Area",0.512629418,0.573469838,0.287175838,1.373275094
310M300US13380,"Bellingham, WA Metro Area",0.512021209,0.597013155,0.47148467,1.580519034
310M300US13420,"Bemidji, MN Micro Area",0.425451984,0.55561102,0.407534246,1.38859725
310M300US13460,"Bend-Redmond, OR Metro Area",0.542011691,0.602085433,0.423666682,1.567763805
310M300US13500,"Bennettsville, SC Micro Area",0.278261247,0.521331755,0.465706553,1.265299555
310M300US13540,"Bennington, VT Micro Area",0.497159684,0.568066484,0.406768629,1.471994797
310M300US13620,"Berlin, NH-VT Micro Area",0.469703977,0.500806148,0.428287632,1.398797756
310M300US13660,"Big Rapids, MI Micro Area",0.371940233,0.548864566,0.209314768,1.130119567
310M300US13700,"Big Spring, TX Micro Area",0.484969079,0.532051052,0.467035754,1.484055884
310M300US13720,"Big Stone Gap, VA Micro Area",0.343969695,0.525019291,0.466544549,1.335533534
310M300US13740,"Billings, MT Metro Area",0.551025144,0.609480648,0.468895902,1.629401694
310M300US13780,"Binghamton, NY Metro Area",0.457795548,0.573093727,0.389061546,1.419950821
310M300US13820,"Birmingham-Hoover, AL Metro Area",0.465361875,0.602285309,0.483233954,1.550881138
310M300US13900,"Bismarck, ND Metro Area",0.620711824,0.608095892,0.393803321,1.622611037
310M300US13940,"Blackfoot, ID Micro Area",0.509101948,0.594034744,0.352784026,1.455920718
310M300US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",0.462064282,0.545115152,0.426768773,1.433948208
310M300US14010,"Bloomington, IL Metro Area",0.544793723,0.604383898,0.441087656,1.590265276
310M300US14020,"Bloomington, IN Metro Area",0.430651517,0.51469291,0.418027983,1.363372411
310M300US14100,"Bloomsburg-Berwick, PA Metro Area",0.489064131,0.577980752,0.428605308,1.495650191
310M300US14140,"Bluefield, WV-VA Micro Area",0.408909533,0.549745088,0.424197523,1.382852144
310M300US14180,"Blytheville, AR Micro Area",0.326799803,0.433735326,0.44181446,1.202349589
310M300US14220,"Bogalusa, LA Micro Area",0.27342945,0.50192285,0.446605808,1.221958108
310M300US14260,"Boise City, ID Metro Area",0.507974355,0.603827154,0.470958657,1.582760167
310M300US14300,"Bonham, TX Micro Area",0.48096217,0.575836669,0.415458335,1.472257174
310M300US14340,"Boone, IA Micro Area",0.560801194,0.64837475,0.442113053,1.651288997
310M300US14380,"Boone, NC Micro Area",0.362572355,0.506116408,0.468764122,1.337452885
310M300US14420,"Borger, TX Micro Area",0.477785833,0.534972624,0.444855823,1.45761428
310M300US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",0.626883379,0.602083728,0.460872347,1.689839454
310M300US14500,"Boulder, CO Metro Area",0.637630395,0.628436938,0.470034469,1.736101803
310M300US14540,"Bowling Green, KY Metro Area",0.445557916,0.548569559,0.42741571,1.421543184
310M300US14580,"Bozeman, MT Micro Area",0.557009544,0.59703293,0.43658848,1.590630953
310M300US14620,"Bradford, PA Micro Area",0.434351796,0.520413406,0.476415685,1.431180887
310M300US14660,"Brainerd, MN Micro Area",0.516977486,0.571887513,0.452299389,1.541164388
310M300US14700,"Branson, MO Micro Area",0.443110608,0.520302585,0.466650044,1.430063238
310M300US14720,"Breckenridge, CO Micro Area",0.655355125,0.489075562,0.506572759,1.651003445
310M300US14740,"Bremerton-Silverdale, WA Metro Area",0.594859408,0.592699252,0.378372778,1.565931438
310M300US14780,"Brenham, TX Micro Area",0.49542303,0.579374223,0.438370946,1.513168199
310M300US14820,"Brevard, NC Micro Area",0.46437695,0.593590709,0.461677399,1.519645059
310M300US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0.603887864,0.620203155,0.455833274,1.679924293
310M300US15020,"Brookhaven, MS Micro Area",0.374261844,0.56540146,0.444385618,1.384048922
310M300US15060,"Brookings, OR Micro Area",0.427707923,0.583338565,0.437945431,1.44899192
310M300US15100,"Brookings, SD Micro Area",0.528298225,0.544761536,0.4556768,1.528736561
310M300US15140,"Brownsville, TN Micro Area",0.376360399,0.483531322,0.373821285,1.233713007
310M300US15180,"Brownsville-Harlingen, TX Metro Area",0.284006938,0.51673102,0.441841235,1.242579194
310M300US15220,"Brownwood, TX Micro Area",0.423560138,0.572976081,0.440359125,1.436895344
310M300US15260,"Brunswick, GA Metro Area",0.402391843,0.485338567,0.451069298,1.338799708
310M300US15340,"Bucyrus, OH Micro Area",0.440627258,0.558433824,0.331715052,1.330776134
310M300US15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",0.499488736,0.575524375,0.345623131,1.420636242
310M300US15420,"Burley, ID Micro Area",0.480328364,0.590267597,0.44999133,1.520587291
310M300US15460,"Burlington, IA-IL Micro Area",0.491948109,0.581609913,0.444581604,1.518139626
310M300US15500,"Burlington, NC Metro Area",0.454474107,0.56011037,0.443817947,1.458402425
310M300US15540,"Burlington-South Burlington, VT Metro Area",0.590068079,0.61282165,0.404955114,1.607844843
310M300US15580,"Butte-Silver Bow, MT Micro Area",0.423158632,0.562287815,0.486437864,1.471884311
310M300US15620,"Cadillac, MI Micro Area",0.441973695,0.580457644,0.315078729,1.337510068
310M300US15660,"Calhoun, GA Micro Area",0.445097062,0.514788495,0.451770578,1.411656135
310M300US15680,"California-Lexington Park, MD Metro Area",0.678064819,0.605496669,0.418497606,1.702059095
310M300US15700,"Cambridge, MD Micro Area",0.451299775,0.530790835,0.387327126,1.369417736
310M300US15740,"Cambridge, OH Micro Area",0.425456766,0.552396783,0.361557325,1.339410873
310M300US15780,"Camden, AR Micro Area",0.353158649,0.495784143,0.482640427,1.331583219
310M300US15820,"Campbellsville, KY Micro Area",0.378346749,0.524915028,0.424793419,1.328055196
310M300US15860,"Cañon City, CO Micro Area",0.455753893,0.614423536,0.411945173,1.482122602
310M300US15900,"Canton, IL Micro Area",0.465601565,0.594146899,0.406335637,1.466084101
310M300US15940,"Canton-Massillon, OH Metro Area",0.489038109,0.590137386,0.361132448,1.440307942
310M300US15980,"Cape Coral-Fort Myers, FL Metro Area",0.465164391,0.546825123,0.482688232,1.494677745
310M300US16020,"Cape Girardeau, MO-IL Metro Area",0.453479091,0.551575285,0.42910574,1.434160116
310M300US16060,"Carbondale-Marion, IL Metro Area",0.404448275,0.544521714,0.419069396,1.368039386
310M300US16100,"Carlsbad-Artesia, NM Micro Area",0.54033007,0.56551751,0.441755935,1.547603516
310M300US16140,"Carroll, IA Micro Area",0.555121363,0.648660677,0.456577451,1.660359491
310M300US16180,"Carson City, NV Metro Area",0.467995255,0.49878914,0.470485609,1.437270004
310M300US16220,"Casper, WY Metro Area",0.566971323,0.533034353,0.475462884,1.57546856
310M300US16260,"Cedar City, UT Micro Area",0.431003325,0.558700297,0.473495123,1.463198745
310M300US16300,"Cedar Rapids, IA Metro Area",0.575087908,0.649989181,0.444755072,1.669832161
310M300US16340,"Cedartown, GA Micro Area",0.389876037,0.529925566,0.445117021,1.364918624
310M300US16380,"Celina, OH Micro Area",0.561975406,0.657618406,0.32067386,1.540267671
310M300US16420,"Central City, KY Micro Area",0.406624334,0.556482027,0.408488752,1.371595112
310M300US16460,"Centralia, IL Micro Area",0.43745206,0.585579099,0.4124399,1.435471059
310M300US16500,"Centralia, WA Micro Area",0.453043422,0.576373345,0.438289091,1.467705858
310M300US16540,"Chambersburg-Waynesboro, PA Metro Area",0.556431584,0.59975358,0.439330608,1.595515772
310M300US16580,"Champaign-Urbana, IL Metro Area",0.457700335,0.556796749,0.436640379,1.451137464
310M300US16620,"Charleston, WV Metro Area",0.450255096,0.538268204,0.412670843,1.401194144
310M300US16660,"Charleston-Mattoon, IL Micro Area",0.412649871,0.564740803,0.43279243,1.410183104
310M300US16700,"Charleston-North Charleston, SC Metro Area",0.512095463,0.60039039,0.454084372,1.566570225
310M300US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.502218714,0.594409401,0.453679054,1.550307169
310M300US16820,"Charlottesville, VA Metro Area",0.568014372,0.578033885,0.469135972,1.615184228
310M300US16860,"Chattanooga, TN-GA Metro Area",0.476586012,0.558698626,0.434344458,1.469629096
310M300US16940,"Cheyenne, WY Metro Area",0.583038658,0.567019137,0.446200652,1.596258446
310M300US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.499835096,0.595652299,0.469733575,1.56522097
310M300US17020,"Chico, CA Metro Area",0.411507116,0.553613314,0.448162021,1.413282451
310M300US17060,"Chillicothe, OH Micro Area",0.439899505,0.550945083,0.273121604,1.263966193
310M300US17140,"Cincinnati, OH-KY-IN Metro Area",0.509451895,0.579125608,0.411578074,1.500155577
310M300US17200,"Claremont-Lebanon, NH-VT Micro Area",0.5304773,0.557927252,0.42800246,1.516407012
310M300US17220,"Clarksburg, WV Micro Area",0.480307075,0.582554366,0.373677139,1.43653858
310M300US17260,"Clarksdale, MS Micro Area",0.156103715,0.445519271,0.443218771,1.044841756
310M300US17300,"Clarksville, TN-KY Metro Area",0.480275622,0.512252143,0.417679314,1.410207078
310M300US17340,"Clearlake, CA Micro Area",0.335796644,0.502952159,0.468127961,1.306876763
310M300US17380,"Cleveland, MS Micro Area",0.18817097,0.451271382,0.475387118,1.114829469
310M300US17420,"Cleveland, TN Metro Area",0.43831623,0.554311382,0.400193407,1.392821018
310M300US17460,"Cleveland-Elyria, OH Metro Area",0.461754665,0.56572104,0.318347793,1.345823498
310M300US17500,"Clewiston, FL Micro Area",0.324107842,0.502899349,0.409159971,1.236167163
310M300US17540,"Clinton, IA Micro Area",0.514148645,0.613433327,0.312733688,1.44031566
310M300US17580,"Clovis, NM Micro Area",0.382568135,0.503199086,0.456068798,1.341836019
310M300US17660,"Coeur d'Alene, ID Metro Area",0.515129659,0.579026514,0.384620677,1.47877685
310M300US17700,"Coffeyville, KS Micro Area",0.453235966,0.527514366,0.367606322,1.348356655
310M300US17740,"Coldwater, MI Micro Area",0.497638554,0.574267187,0.220928774,1.292834515
310M300US17780,"College Station-Bryan, TX Metro Area",0.415550472,0.484105469,0.371904094,1.271560034
310M300US17820,"Colorado Springs, CO Metro Area",0.560996949,0.616292397,0.448687778,1.625977124
310M300US17860,"Columbia, MO Metro Area",0.496850702,0.5321037,0.466323979,1.495278381
310M300US17900,"Columbia, SC Metro Area",0.480084561,0.602148813,0.453290608,1.535523982
310M300US17980,"Columbus, GA-AL Metro Area",0.382168129,0.465395946,0.480664795,1.32822887
310M300US18020,"Columbus, IN Metro Area",0.547370001,0.585125078,0.425674398,1.558169477
310M300US18060,"Columbus, MS Micro Area",0.375702175,0.508357253,0.436252383,1.320311811
310M300US18100,"Columbus, NE Micro Area",0.56771711,0.612985131,0.427366703,1.608068944
310M300US18140,"Columbus, OH Metro Area",0.526859672,0.563264002,0.346073374,1.436197048
310M300US18180,"Concord, NH Micro Area",0.602245114,0.579685106,0.42303222,1.604962439
310M300US18220,"Connersville, IN Micro Area",0.435388664,0.554406815,0.394931489,1.384726968
310M300US18260,"Cookeville, TN Micro Area",0.353524707,0.559942182,0.398157735,1.311624624
310M300US18300,"Coos Bay, OR Micro Area",0.383895656,0.56094636,0.364740555,1.309582572
310M300US18380,"Cordele, GA Micro Area",0.189845782,0.450759919,0.438998917,1.079604619
310M300US18420,"Corinth, MS Micro Area",0.389526529,0.576535496,0.428962693,1.395024717
310M300US18460,"Cornelia, GA Micro Area",0.443783806,0.594168366,0.49360377,1.531555941
310M300US18500,"Corning, NY Micro Area",0.462149744,0.570376464,0.366821279,1.399347486
310M300US18580,"Corpus Christi, TX Metro Area",0.473273487,0.498301362,0.428695477,1.400270326
310M300US18620,"Corsicana, TX Micro Area",0.402608726,0.506877875,0.436012769,1.34549937
310M300US18660,"Cortland, NY Micro Area",0.510748514,0.541546691,0.411172108,1.463467313
310M300US18700,"Corvallis, OR Metro Area",0.484627687,0.614509362,0.398014417,1.497151467
310M300US18740,"Coshocton, OH Micro Area",0.461901891,0.620590842,0.273171478,1.355664211
310M300US18780,"Craig, CO Micro Area",0.545038529,0.585678989,0.511591773,1.642309291
310M300US18820,"Crawfordsville, IN Micro Area",0.566420038,0.575633649,0.414445854,1.556499541
310M300US18860,"Crescent City, CA Micro Area",0.338525263,0.518064935,0.363893261,1.220483458
310M300US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.528854024,0.534538235,0.461484365,1.524876624
310M300US18900,"Crossville, TN Micro Area",0.445022092,0.570488462,0.422930241,1.438440795
310M300US18980,"Cullman, AL Micro Area",0.433630987,0.64451543,0.438269309,1.516415726
310M300US19000,"Cullowhee, NC Micro Area",0.436202868,0.47366728,0.491127344,1.400997492
310M300US19060,"Cumberland, MD-WV Metro Area",0.445096791,0.544197036,0.398884988,1.388178815
310M300US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",0.528449186,0.552703832,0.487562253,1.568715272
310M300US19140,"Dalton, GA Metro Area",0.41381032,0.554296809,0.441614596,1.409721725
310M300US19180,"Danville, IL Metro Area",0.438135625,0.558199427,0.412034554,1.408369607
310M300US19220,"Danville, KY Micro Area",0.421965456,0.57738124,0.397739226,1.397085922
310M300US19260,"Danville, VA Micro Area",0.414319399,0.529542845,0.461483554,1.405345797
310M300US19300,"Daphne-Fairhope-Foley, AL Metro Area",0.509415419,0.628461333,0.432939462,1.570816214
310M300US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",0.514078238,0.610800896,0.451575655,1.576454788
310M300US19380,"Dayton, OH Metro Area",0.474338497,0.560364429,0.329607231,1.364310158
310M300US19420,"Dayton, TN Micro Area",0.406219847,0.525044552,0.423160128,1.354424527
310M300US19460,"Decatur, AL Metro Area",0.439586577,0.609630287,0.435437565,1.48465443
310M300US19500,"Decatur, IL Metro Area",0.434114936,0.568041407,0.444534548,1.446690891
310M300US19540,"Decatur, IN Micro Area",0.448014244,0.618211634,0.352272087,1.418497965
310M300US19580,"Defiance, OH Micro Area",0.555125355,0.615806397,0.266753868,1.437685621
310M300US19620,"Del Rio, TX Micro Area",0.408119248,0.519098773,0.436375069,1.36359309
310M300US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.453646935,0.571580129,0.435681391,1.460908455
310M300US19700,"Deming, NM Micro Area",0.221302372,0.546155718,0.427990572,1.195448662
310M300US19740,"Denver-Aurora-Lakewood, CO Metro Area",0.619888704,0.625911519,0.503384381,1.749184605
310M300US19760,"DeRidder, LA Micro Area",0.458830124,0.567521902,0.428832403,1.45518443
310M300US19780,"Des Moines-West Des Moines, IA Metro Area",0.575997726,0.627468699,0.44251218,1.645978606
310M300US19820,"Detroit-Warren-Dearborn, MI Metro Area",0.472101346,0.590676922,0.364801696,1.427579964
310M300US19860,"Dickinson, ND Micro Area",0.631904512,0.572631187,0.456605512,1.66114121
310M300US19940,"Dixon, IL Micro Area",0.517127324,0.6004644,0.439923055,1.557514778
310M300US19980,"Dodge City, KS Micro Area",0.469598698,0.52158773,0.399486113,1.390672541
310M300US20020,"Dothan, AL Metro Area",0.412974784,0.56942987,0.432865646,1.4152703
310M300US20060,"Douglas, GA Micro Area",0.328713523,0.4994706,0.452739059,1.280923181
310M300US20100,"Dover, DE Metro Area",0.517565862,0.563181302,0.387635647,1.468382811
310M300US20140,"Dublin, GA Micro Area",0.321811056,0.528306049,0.441445208,1.291562314
310M300US20180,"DuBois, PA Micro Area",0.435945168,0.587384985,0.422395732,1.445725885
310M300US20220,"Dubuque, IA Metro Area",0.549215937,0.634725859,0.422946888,1.606888684
310M300US20260,"Duluth, MN-WI Metro Area",0.505494693,0.584209927,0.43116066,1.52086528
310M300US20300,"Dumas, TX Micro Area",0.54031766,0.509121946,0.46811054,1.517550145
310M300US20340,"Duncan, OK Micro Area",0.452045523,0.54597907,0.389222793,1.387247386
310M300US20380,"Dunn, NC Micro Area",0.446413173,0.557216881,0.465623993,1.469254047
310M300US20420,"Durango, CO Micro Area",0.604406115,0.617011192,0.42687124,1.648288546
310M300US20460,"Durant, OK Micro Area",0.434022276,0.493897134,0.405913901,1.333833311
310M300US20500,"Durham-Chapel Hill, NC Metro Area",0.509173448,0.568182179,0.475205745,1.552561372
310M300US20540,"Dyersburg, TN Micro Area",0.418347744,0.499872536,0.333339725,1.251560005
310M300US20580,"Eagle Pass, TX Micro Area",0.286309014,0.524577188,0.406928825,1.217815027
310M300US20660,"Easton, MD Micro Area",0.56931845,0.594891898,0.404791464,1.569001813
310M300US20700,"East Stroudsburg, PA Metro Area",0.487622099,0.561014014,0.465535782,1.514171896
310M300US20740,"Eau Claire, WI Metro Area",0.541825238,0.60758426,0.439665136,1.589074634
310M300US20780,"Edwards, CO Micro Area",0.693922054,0.554481687,0.471196253,1.719599993
310M300US20820,"Effingham, IL Micro Area",0.529631117,0.647450654,0.478368919,1.655450689
310M300US20900,"El Campo, TX Micro Area",0.421942029,0.540194162,0.440932532,1.403068724
310M300US20940,"El Centro, CA Metro Area",0.289346077,0.517907418,0.429667416,1.236920911
310M300US20980,"El Dorado, AR Micro Area",0.401304384,0.597327315,0.471486316,1.470118015
310M300US21020,"Elizabeth City, NC Micro Area",0.448304188,0.562035087,0.445602168,1.455941443
310M300US21060,"Elizabethtown-Fort Knox, KY Metro Area",0.503202014,0.549950611,0.408355565,1.46150819
310M300US21120,"Elk City, OK Micro Area",0.470052183,0.513753427,0.43252647,1.41633208
310M300US21140,"Elkhart-Goshen, IN Metro Area",0.521238742,0.588263471,0.326754831,1.436257044
310M300US21180,"Elkins, WV Micro Area",0.391066755,0.570453548,0.41939121,1.380911513
310M300US21220,"Elko, NV Micro Area",0.623340994,0.550766225,0.513112866,1.687220085
