"","hdi_rank","country","inequality_adjusted_life","inequality_adjusted_education","maternal_mortality","parliament_pct_women","labor_participation_women","labor_participation_men","total_pop","urban_pct_pop","pop_under5","pop_15to64","pop_over65","mortality_infant_2018","mortality_under5_2018","mortality_female_2018","mortality_male_2018","tuberculosis_2018","health_expenditure_2017","gdp_total","gdp_percapita","consumer_price_index","labor_participation","total_unemployment","youth_unemployment","prison_5yr","trade","foreign_investment","net_migration","immigrant_pop","tourists_2018","internet_users_2018","mobile_users_2018"
"1",1,"Norway",0.931,0.908,2,40.8,60.4,67.2,5.4,82.6,0.0555555555555556,0.648148148148148,0.166666666666667,2.1,2.5,39,62,4.1,10.4,340.3,63633,120,63.8,3.3,9.3,80,72.1,0.4,5.3,16.1,5688,96.5,107.2
"2",2,"Ireland",0.926,0.892,5,24.3,56,68.4,4.9,63.4,0.0612244897959184,0.653061224489796,0.142857142857143,3.1,3.7,42,71,7,7.2,428.8,86781,107,62.1,4.9,13.1,82,239.2,-20.4,4.9,17.1,10926,84.5,103.2
"3",2,"Switzerland",0.947,0.883,5,38.6,62.9,73.8,8.6,73.8,0.0465116279069768,0.662790697674419,0.186046511627907,3.7,4.1,36,58,6.4,12.3,588.5,68628,100,68.3,4.6,7.4,77,119.4,-2.6,6.1,29.9,10362,89.7,129.6
"4",4,"Iceland",0.946,0.9,4,38.1,70.8,79.2,0.3,93.9,0,0.666666666666667,0.333333333333333,1.5,2,38,66,2.7,8.3,20.2,55874,129,75,2.8,7.8,40,85.9,-1.8,1.1,15.5,2344,99,126.1
"5",6,"Germany",0.908,0.922,7,31.6,55.3,66.6,83.5,77.4,0.0479041916167665,0.646706586826347,0.215568862275449,3.1,3.7,48,87,7.3,11.2,4473.8,53815,113,60.8,3,5.4,79,88.1,1.3,6.6,15.7,38881,89.7,129.3
"6",7,"Sweden",0.938,0.884,4,47.3,61.4,67.8,10,87.7,0.06,0.62,0.2,2.2,2.7,38,62,5.5,11,547.2,53205,111,64.6,6.5,17.8,61,90.5,4.6,4,20,7440,92.1,125.1
"7",8,"Australia",0.94,0.899,6,36.6,60.3,70.9,25.2,86.1,0.0674603174603175,0.646825396825397,0.158730158730159,3.1,3.7,45,76,6.6,9.2,1262,49756,120,65.5,5.3,12.1,173,45.7,2.8,6.4,30,9246,86.5,113.6
"8",8,"Netherlands",0.928,0.865,5,33.8,58.3,69.1,17.1,91.9,0.0526315789473684,0.64327485380117,0.198830409356725,3.3,3.9,51,66,5.3,10.1,990.4,57141,116,63.6,3.2,6.4,66,154.3,3.1,0.9,13.4,18780,94.7,124.3
"9",10,"Denmark",0.903,0.894,4,39.1,58.2,66.3,5.8,88,0.0517241379310345,0.637931034482759,0.206896551724138,3.6,4.2,52,82,5.4,10.1,332.7,57184,110,62.2,4.9,9.8,63,105,-1.9,2.6,12.5,12749,97.6,125.1
"10",11,"Finland",0.924,0.907,3,47,55.5,62.8,5.5,85.4,0.0545454545454545,0.618181818181818,0.218181818181818,1.4,1.7,44,89,4.7,9.2,268.4,48621,112,59.1,6.6,16.3,54,79.5,3.1,2.5,6.9,3224,88.9,132.2
